scenario_id,domain,recipient_allowed_tok_len,recipient_disallowed_tok_len,purpose_allowed_tok_len,purpose_disallowed_tok_len,recipient_length_matched,purpose_length_matched,both_length_matched,prompt_A_len,prompt_D_len,final_answer_idx_A,final_answer_idx_D,use_final_AB,use_final_AC,use_final_AD,use_recipient_AB,use_recipient_CD,use_purpose_AC,use_purpose_BD,use_both_AD,improve_B,improve_C,improve_D,base_A_correct,base_B_correct,base_C_correct,base_D_correct,ci_A_correct,ci_B_correct,ci_C_correct,ci_D_correct,base_A_margin,base_B_margin,base_C_margin,base_D_margin,ci_A_margin,ci_B_margin,ci_C_margin,ci_D_margin,both_clean_AB,both_clean_AC,both_clean_AD,patch_final_AD,patch_recipient_AB_lasttok,patch_purpose_AC_lasttok,patch_recipient_AB_strictspan,patch_purpose_AC_strictspan,patch_both_AD_strictspan,improve_B_uncapped,improve_C_uncapped,improve_D_uncapped
100034,finance,1,2,2,2,False,True,False,82,83,81,82,True,True,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,True,8.875,4.0,-6.875,0.53125,8.21875,3.21875,-8.03125,-0.78125,False,False,True,True,False,False,False,False,False,False,False,True
100035,finance,1,2,2,3,False,False,False,85,87,84,86,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,14.046875,10.78125,1.5625,0.9375,14.40625,11.5,0.0625,-0.0625,False,False,True,True,False,False,False,False,False,False,False,True
100041,finance,1,2,2,2,False,True,False,76,77,75,76,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,9.5625,2.5,0.625,2.4375,9.53125,2.96875,-0.75,2.40625,False,True,False,False,False,True,False,True,False,False,True,False
100051,finance,1,3,2,2,False,True,False,80,82,79,81,True,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,True,11.140625,9.5625,0.34375,-0.9375,12.5,10.96875,-0.9375,-2.4375,False,True,False,False,False,True,False,True,False,False,True,False
100086,finance,1,2,2,2,False,True,False,78,79,77,78,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,16.640625,4.3125,11.78125,0.625,17.546875,4.1875,11.4375,-0.0625,False,False,True,True,False,False,False,False,False,False,False,True
100117,finance,1,2,2,2,False,True,False,76,77,75,76,True,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,True,16.53125,6.0,0.5625,-1.84375,16.75,6.15625,-0.75,-2.4375,False,True,False,False,False,True,False,True,False,False,True,False
100120,finance,1,2,2,3,False,False,False,78,80,77,79,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,11.71875,10.90625,0.84375,-0.03125,11.6875,11.375,-0.0625,-0.59375,False,True,False,False,False,True,False,False,False,False,True,False
100134,finance,1,2,2,2,False,True,False,77,78,76,77,True,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,True,16.109375,2.4375,0.3125,-3.71875,16.09375,3.5625,-1.15625,-4.96875,False,True,False,False,False,True,False,True,False,False,True,False
100142,finance,1,2,2,2,False,True,False,82,83,81,82,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,14.390625,7.90625,0.3125,5.96875,15.21875,8.65625,-1.625,5.3125,False,True,False,False,False,True,False,True,False,False,True,False
100160,finance,1,2,2,2,False,True,False,76,77,75,76,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,14.703125,13.984375,1.1875,10.921875,15.046875,14.734375,-0.78125,11.4375,False,True,False,False,False,True,False,True,False,False,True,False
