version,site,layer,n,mean_cosine,median_cosine,std_cosine,mean_base_norm,mean_ci_norm,mean_norm_ratio
A,final,0,304,0.9999863628886247,0.9999863505363464,3.628994049269602e-07,10.37444047551406,10.372120123160514,0.9997763027580854
A,final,1,304,0.9987620440752882,0.9987632632255554,2.8335129889117642e-05,15.105351272382235,15.207635785404005,1.006770278048498
A,final,2,304,0.9988728432278884,0.9988773465156555,3.128039201421723e-05,17.91166391498164,17.85038656310031,0.9965783780788507
A,final,3,304,0.9983401776928651,0.9983480870723724,6.586480881961722e-05,18.82362818090539,18.818724751472473,0.9997397455583305
A,final,4,304,0.9978346657988272,0.9978539943695068,8.172820931197295e-05,22.301424164521066,22.35993240381542,1.0026243426581587
A,final,5,304,0.9981470592319965,0.9981526732444763,5.718086523555543e-05,31.58130973263791,31.931193100778682,1.0110753485864301
A,final,6,304,0.9981762090403783,0.9981900155544281,6.906079240327755e-05,31.877969635160344,31.990304871609336,1.003523101526221
A,final,7,304,0.997830475827581,0.9978342056274414,6.4944191848479e-05,33.12136553463183,33.2377868953504,1.0035130898127582
A,final,8,304,0.9971519071412714,0.9971475601196289,9.837208733858944e-05,33.970015136819136,34.03809503505104,1.0020041908461068
A,final,9,304,0.9956093210923044,0.995632529258728,0.0002086764988057535,38.68214028760006,38.46092200279236,0.9942802096122245
A,final,10,304,0.9943726358837203,0.9943940341472626,0.0003681925680449408,42.219258634667646,42.59499518494857,1.0088970326234976
A,final,11,304,0.9935453504716095,0.99355149269104,0.0004533562059174475,43.72258503813492,44.62116246474417,1.0205493264695835
A,final,12,304,0.9943979272716924,0.9944112598896027,0.00041360876865242425,47.888591264423575,47.71957172845539,0.9964699700857387
A,final,13,304,0.9946013512580019,0.9946444034576416,0.0004183467566770697,55.880668213492946,55.63185442121405,0.9955516711720485
A,final,14,304,0.996112692316896,0.9961370229721069,0.0003043385498482772,70.87874545549091,71.08081852762322,1.0028510834721855
A,final,15,304,0.9960175156593323,0.9960353970527649,0.00029736137347675,68.83606142746775,69.02033216074894,1.002677433171329
A,final,16,304,0.9962447232713825,0.9962571263313293,0.00028000460709657666,70.79348955656353,70.76891186362819,0.9996531242560671
A,final,17,304,0.9969174256058115,0.9969559907913208,0.00022894365093731122,77.2428802440041,77.16190285431712,0.9989535956049236
A,final,18,304,0.99633120412105,0.9963940978050232,0.0004007080842210118,84.93518327411853,85.40770031276502,1.0055646859020713
A,final,19,304,0.9967138528039581,0.9968276917934418,0.0004642821161430825,99.69933994192826,100.33723093333997,1.0064029584689926
A,final,20,304,0.996933004181636,0.9971302151679993,0.0005980139120436246,121.39107884858784,121.80192575956646,1.003397675559673
A,final,21,304,0.9974712158896422,0.9976577758789062,0.0006497457423733279,140.4212101886147,140.50349521636963,1.000591120826338
A,final,22,304,0.997665813682895,0.997941255569458,0.00078540847542966,168.2051716352764,168.93579784192536,1.0043492854282499
A,final,23,304,0.9981705713036814,0.9984397888183594,0.0007491117496325387,212.41765865526702,213.161587464182,1.0035030440582755
A,final,24,304,0.9986632938839888,0.9988886117935181,0.0006366371111066132,271.71264969675167,273.2201752913626,1.0055531097530113
A,final,25,304,0.9989307187497616,0.9991260766983032,0.0005200873058287684,348.82794992547286,350.8025895168907,1.0056723398557852
A,final,26,304,0.9990650448752078,0.9992333948612213,0.00045850126585730204,437.3701061449553,438.0100610632646,1.0014670444191698
A,final,27,304,0.9979903439157888,0.998291552066803,0.0009325185068950855,303.9546191566869,302.6162522968493,0.9955946521234531
A,purpose_last,0,304,0.9999967995834979,0.9999968111515045,2.9930990016358737e-07,13.453131628663916,13.449652016162872,0.9997380874277901
A,purpose_last,1,304,0.999991923374565,0.9999925494194031,2.588231171072708e-06,20.903977764280217,20.891604956827667,0.9995328244683129
A,purpose_last,2,304,0.9999818423468816,0.9999819397926331,5.431783549838007e-06,28.060790821125632,28.033044978191977,0.9990729283468469
A,purpose_last,3,304,0.9999731332063675,0.9999713599681854,9.88044483111264e-06,34.29577875137329,34.30625095492915,1.0003928151312658
A,purpose_last,4,304,0.9999702672817206,0.9999692440032959,8.877670316799393e-06,38.97499600209688,39.001953984561716,1.0007545160022175
A,purpose_last,5,304,0.9999658647728594,0.9999651908874512,9.22311522543684e-06,40.270871451026515,40.29121186858729,1.0005566410059736
A,purpose_last,6,304,0.9999504642266976,0.9999493956565857,1.1228025376325539e-05,45.79082416233263,45.806643762086566,1.0003755252306468
A,purpose_last,7,304,0.9999543224510393,0.9999559819698334,8.791473497267661e-06,52.51852498556438,52.575785762385316,1.0010911592881846
A,purpose_last,8,304,0.9999416327398074,0.999946653842926,1.4060815772732017e-05,57.598189981360186,57.61128810832375,1.0002183043979558
A,purpose_last,9,304,0.9999260502426248,0.9999295473098755,1.6866976581106524e-05,57.619323918693944,57.59069878176639,0.9995226361604076
A,purpose_last,10,304,0.9999092540850765,0.9999104142189026,1.4923430632171758e-05,59.58838333581623,59.6236639524761,1.0006133202784113
A,purpose_last,11,304,0.9999013770567743,0.9999030530452728,1.760533746619094e-05,62.44768876778452,62.519144309194466,1.0011520151544868
A,purpose_last,12,304,0.9998759611656791,0.9998786449432373,2.4285478122367085e-05,61.73525309562683,61.82714033126831,1.0014855566778393
A,purpose_last,13,304,0.9998648280375882,0.9998705387115479,2.968083517239594e-05,69.83728006011562,69.91293352528622,1.0011057664924294
A,purpose_last,14,304,0.9998433964425012,0.9998500943183899,3.368103703956244e-05,70.5076003325613,70.50817251205444,1.000024281999826
A,purpose_last,15,304,0.999848730077869,0.9998551607131958,3.034802136835371e-05,81.91557000812732,81.78320643776341,0.9984091975305894
A,purpose_last,16,304,0.9998259011067843,0.9998350441455841,3.762213269747008e-05,83.11776693243729,83.05578686061658,0.9992666090500059
A,purpose_last,17,304,0.9998087051667666,0.9998191595077515,4.3807047328635154e-05,88.4154853318867,88.25264729951557,0.9981605500429872
A,purpose_last,18,304,0.9998245125538424,0.9998369812965393,4.299553190206378e-05,102.60452800048024,102.38836444051643,0.9978951826501289
A,purpose_last,19,304,0.999748770147562,0.9997609257698059,4.971986276988885e-05,110.07221731386687,109.55478788677014,0.9953043044664047
A,purpose_last,20,304,0.9997292282549959,0.9997390806674957,4.7112667872053925e-05,125.40110633247777,124.66493957921078,0.9941294890959798
A,purpose_last,21,304,0.999713022261858,0.9997261464595795,5.059532735414617e-05,153.9086799621582,152.9165580147191,0.9935557578293231
A,purpose_last,22,304,0.9996594102366975,0.9996639490127563,5.770153758662415e-05,171.56869541971307,170.33524628689415,0.9928134726625396
A,purpose_last,23,304,0.9996169646711726,0.9996267259120941,5.832666875572581e-05,211.21168964787535,209.31036065754137,0.990995148741343
A,purpose_last,24,304,0.9995498394495562,0.9995536208152771,6.5513268030467e-05,265.2972768482409,262.7294839557849,0.9903131192753039
A,purpose_last,25,304,0.999431454429501,0.9994382262229919,8.888790775107009e-05,308.1530481639661,305.9133129119873,0.9927309868390823
A,purpose_last,26,304,0.9989422504839144,0.9989699423313141,0.0001522265467470092,407.5554549568578,404.7544942153128,0.9931223750066256
A,purpose_last,27,304,0.9976291958438722,0.997665137052536,0.0003609300869585302,268.8907214716861,269.1636418794331,1.0010067253458594
A,recipient_last,0,304,0.9999963709790456,0.9999962747097015,6.681921794499343e-07,14.45491451966135,14.448271657291212,0.999539533959623
A,recipient_last,1,304,0.9999912726251703,0.9999922513961792,2.9807753297385205e-06,24.1630761748866,24.159477528772857,0.999871531203684
A,recipient_last,2,304,0.9999780917638227,0.9999783933162689,4.375458288338817e-06,29.220456255109685,29.232393183206256,1.0003909941957243
A,recipient_last,3,304,0.9999695879064108,0.9999703466892242,6.11174617299714e-06,34.50135656407005,34.54269915505459,1.001188676609259
A,recipient_last,4,304,0.9999624675041751,0.9999642968177795,9.176392135078354e-06,37.85607908901415,37.89958712929174,1.0011434174266594
A,recipient_last,5,304,0.9999567001665893,0.9999587535858154,9.195981051700526e-06,39.74009424761722,39.76911499625758,1.0007453632599044
A,recipient_last,6,304,0.9999392195359657,0.9999407827854156,1.1580291441419696e-05,45.23309426558645,45.265515415292036,1.0007213069149798
A,recipient_last,7,304,0.9999459087848663,0.999945193529129,1.1104621928285878e-05,52.43674245633577,52.48217964172363,1.0008619892551527
A,recipient_last,8,304,0.9999407302392157,0.9999404847621918,1.2785135770443838e-05,59.43396511830782,59.42728740290592,0.999870822100755
A,recipient_last,9,304,0.9999222420156002,0.9999243021011353,1.766938229287271e-05,56.785948151036315,56.75008613184879,0.9993574683424701
