selection_name,layer,k,ci_count,base_count,overlap_count,overlap_frac_of_ci,overlap_frac_of_base
layerwise_top_delta_steer,20,50,50,50,46,0.92,0.92
layerwise_top_delta_steer,20,100,100,100,89,0.89,0.89
layerwise_top_delta_steer,20,200,200,200,175,0.875,0.875
layerwise_top_delta_steer,22,50,50,50,46,0.92,0.92
layerwise_top_delta_steer,22,100,100,100,92,0.92,0.92
layerwise_top_delta_steer,22,200,200,200,177,0.885,0.885
layerwise_top_delta_steer,23,50,50,50,45,0.9,0.9
layerwise_top_delta_steer,23,100,100,100,89,0.89,0.89
layerwise_top_delta_steer,23,200,200,200,172,0.86,0.86
layerwise_top_delta_steer,26,50,50,50,47,0.94,0.94
layerwise_top_delta_steer,26,100,100,100,91,0.91,0.91
layerwise_top_delta_steer,26,200,200,200,180,0.9,0.9
layerwise_top_delta_steer,27,50,50,50,42,0.84,0.84
layerwise_top_delta_steer,27,100,100,100,91,0.91,0.91
layerwise_top_delta_steer,27,200,200,200,185,0.925,0.925
global_multilayer_top_delta_steer,multi,50,50,50,45,0.9,0.9
global_multilayer_top_delta_steer,multi,100,100,100,90,0.9,0.9
global_multilayer_top_delta_steer,multi,200,200,200,184,0.92,0.92
