experiment,pair,layer,n,mean_original_margin,mean_patched_margin,mean_effect,mean_destructive_effect,mean_rescue_effect,flip_rate,destroyed_no_rate,rescued_yes_rate,patched_yes_rate,patched_no_rate
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,0,190,-0.7217105263157895,-0.7215460526315789,0.0001644736842105263,0.0001644736842105263,,0.005263157894736842,0.0,0.0,0.005263157894736842,0.9947368421052631
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,1,190,-0.7217105263157895,-0.728125,-0.006414473684210526,-0.006414473684210526,,0.015789473684210527,0.005263157894736842,0.0,0.005263157894736842,0.9947368421052631
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,2,190,-0.7217105263157895,-0.7226973684210526,-0.000986842105263158,-0.000986842105263158,,0.010526315789473684,0.005263157894736842,0.0,0.010526315789473684,0.9894736842105263
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,3,190,-0.7217105263157895,-0.7194078947368421,0.002302631578947368,0.002302631578947368,,0.010526315789473684,0.005263157894736842,0.0,0.010526315789473684,0.9894736842105263
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,4,190,-0.7217105263157895,-0.7241776315789473,-0.0024671052631578946,-0.0024671052631578946,,0.005263157894736842,0.0,0.0,0.005263157894736842,0.9947368421052631
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,5,190,-0.7217105263157895,-0.7090460526315789,0.012664473684210526,0.012664473684210526,,0.02631578947368421,0.021052631578947368,0.0,0.02631578947368421,0.9736842105263158
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,6,190,-0.7217105263157895,-0.6955592105263158,0.026151315789473686,0.026151315789473686,,0.02631578947368421,0.021052631578947368,0.0,0.02631578947368421,0.9736842105263158
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,7,190,-0.7217105263157895,-0.6735197368421053,0.04819078947368421,0.04819078947368421,,0.031578947368421054,0.031578947368421054,0.0,0.042105263157894736,0.9578947368421052
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,8,190,-0.7217105263157895,-0.6516447368421052,0.0700657894736842,0.0700657894736842,,0.04736842105263158,0.04736842105263158,0.0,0.05789473684210526,0.9421052631578948
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,9,190,-0.7217105263157895,-0.5626644736842106,0.15904605263157895,0.15904605263157895,,0.07894736842105263,0.07894736842105263,0.0,0.08947368421052632,0.9105263157894737
