pair,donor,receiver,experiment,direction,site,layer,n,mean_effect,mean_aligned_effect,median_aligned_effect,flip_rate,source_answer_rate,target_answer_rate,mean_original_margin,mean_patched_margin
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,3,85,13.728308823529412,13.728308823529412,14.421875,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.955514705882353
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,4,85,-13.723345588235293,13.723345588235293,14.3125,0.9647058823529412,0.9647058823529412,0.03529411764705882,12.919301470588236,-0.8040441176470589
base_to_ci,base,ci,final_AB,A_to_B,final,26,49,9.740433673469388,9.740433673469388,10.4375,1.0,1.0,0.0,-0.4846938775510204,9.255739795918368
base_to_ci,base,ci,final_AB,B_to_A,final,27,49,-9.68718112244898,9.68718112244898,9.96875,0.9795918367346939,0.9795918367346939,0.02040816326530612,8.571747448979592,-1.1154336734693877
base_to_ci,base,ci,final_AC,A_to_C,final,26,87,13.151939655172415,13.151939655172415,13.765625,0.9885057471264368,1.0,0.0,-0.8681752873563219,12.283764367816092
base_to_ci,base,ci,final_AC,C_to_A,final,27,87,-13.471443965517242,13.471443965517242,14.765625,0.9885057471264368,0.9885057471264368,0.011494252873563218,12.235452586206897,-1.2359913793103448
base_to_ci,base,ci,final_AD,A_to_D,final,26,190,14.19251644736842,14.19251644736842,14.4375,0.9894736842105263,1.0,0.0,-0.7217105263157895,13.470805921052632
base_to_ci,base,ci,final_AD,D_to_A,final,27,190,-14.897203947368421,14.897203947368421,15.359375,0.9789473684210527,0.9789473684210527,0.021052631578947368,13.757319078947368,-1.1398848684210525
base_to_ci,base,ci,purpose_span_AC,A_to_C,purpose_span,0,65,12.875721153846154,12.875721153846154,14.015625,0.9846153846153847,1.0,0.0,-0.8894230769230769,11.986298076923077
base_to_ci,base,ci,purpose_span_AC,C_to_A,purpose_span,2,65,-12.973798076923076,12.973798076923076,14.0625,0.9846153846153847,0.9846153846153847,0.015384615384615385,11.983413461538461,-0.9903846153846154
base_to_ci,base,ci,recipient_span_AB,A_to_B,recipient_span,6,28,9.4453125,9.4453125,8.828125,1.0,1.0,0.0,-0.45870535714285715,8.986607142857142
base_to_ci,base,ci,recipient_span_AB,B_to_A,recipient_span,6,28,-9.697544642857142,9.697544642857142,9.21875,0.9285714285714286,0.9285714285714286,0.07142857142857142,8.921875,-0.7756696428571429
ci_to_base,ci,base,both_span_AD,A_to_D,both_span,14,85,4.7211397058823525,4.7211397058823525,4.796875,0.03529411764705882,0.9764705882352941,0.023529411764705882,0.7977941176470589,5.518933823529411
ci_to_base,ci,base,both_span_AD,D_to_A,both_span,6,85,-11.656801470588235,11.656801470588235,12.421875,0.09411764705882353,0.09411764705882353,0.9058823529411765,12.643933823529412,0.9871323529411765
ci_to_base,ci,base,final_AB,A_to_B,final,13,49,-0.1288265306122449,-0.1288265306122449,-0.125,0.1836734693877551,0.8163265306122449,0.1836734693877551,0.7436224489795918,0.6147959183673469
ci_to_base,ci,base,final_AB,B_to_A,final,27,49,-11.184630102040817,11.184630102040817,11.671875,1.0,1.0,0.0,9.22608418367347,-1.958545918367347
ci_to_base,ci,base,final_AC,A_to_C,final,14,87,-0.020114942528735632,-0.020114942528735632,-0.03125,0.05747126436781609,0.9195402298850575,0.08045977011494253,0.6867816091954023,0.6666666666666666
ci_to_base,ci,base,final_AC,C_to_A,final,27,87,-14.561961206896552,14.561961206896552,15.203125,1.0,1.0,0.0,12.197377873563218,-2.3645833333333335
ci_to_base,ci,base,final_AD,A_to_D,final,11,190,-0.12286184210526316,-0.12286184210526316,-0.125,0.08421052631578947,0.9105263157894737,0.08947368421052632,0.7080592105263158,0.5851973684210526
ci_to_base,ci,base,final_AD,D_to_A,final,27,190,-15.544407894736842,15.544407894736842,15.890625,1.0,1.0,0.0,13.405921052631578,-2.138486842105263
ci_to_base,ci,base,purpose_span_AC,A_to_C,purpose_span,0,65,11.350480769230769,11.350480769230769,12.078125,0.03076923076923077,1.0,0.0,0.7177884615384615,12.06826923076923
ci_to_base,ci,base,purpose_span_AC,C_to_A,purpose_span,2,65,-11.39110576923077,11.39110576923077,12.34375,0.15384615384615385,0.15384615384615385,0.8461538461538461,12.046875,0.6557692307692308
ci_to_base,ci,base,recipient_span_AB,A_to_B,recipient_span,14,28,3.3828125,3.3828125,2.484375,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.7220982142857143,4.104910714285714
ci_to_base,ci,base,recipient_span_AB,B_to_A,recipient_span,8,28,-8.501674107142858,8.501674107142858,8.21875,0.21428571428571427,0.21428571428571427,0.7857142857142857,9.477120535714286,0.9754464285714286
