layer,scenario_id,prompt_version,control_type,alpha,normal_margin,ablated_margin,delta_toward_yes,normal_decision,ablated_decision,no_to_yes_flip
0,100034,D,real_direction,1.0,-0.8125,-0.8125,0.0,No,No,False
0,100185,D,real_direction,1.0,-0.65625,-0.65625,0.0,No,No,False
0,100206,D,real_direction,1.0,-0.25,-0.28125,-0.03125,No,No,False
0,100394,D,real_direction,1.0,-0.0625,-0.0625,0.0,No,No,False
0,100459,D,real_direction,1.0,-1.875,-1.875,0.0,No,No,False
0,100505,D,real_direction,1.0,-0.78125,-0.78125,0.0,No,No,False
0,100747,D,real_direction,1.0,-0.28125,-0.25,0.03125,No,No,False
0,100791,D,real_direction,1.0,-0.59375,-0.59375,0.0,No,No,False
0,100798,D,real_direction,1.0,-0.1875,-0.15625,0.03125,No,No,False
0,100850,D,real_direction,1.0,-0.34375,-0.3125,0.03125,No,No,False
0,100919,D,real_direction,1.0,-0.1875,-0.1875,0.0,No,No,False
0,100921,D,real_direction,1.0,-0.78125,-0.78125,0.0,No,No,False
0,100927,D,real_direction,1.0,-0.40625,-0.4375,-0.03125,No,No,False
0,100962,D,real_direction,1.0,-0.25,-0.25,0.0,No,No,False
0,101109,D,real_direction,1.0,-1.125,-1.09375,0.03125,No,No,False
0,101157,D,real_direction,1.0,-0.84375,-0.84375,0.0,No,No,False
0,101397,D,real_direction,1.0,0.0,0.0,0.0,No,No,False
0,101521,D,real_direction,1.0,-0.34375,-0.34375,0.0,No,No,False
0,101559,D,real_direction,1.0,-0.03125,0.0,0.03125,No,No,False
0,101582,D,real_direction,1.0,-1.15625,-1.1875,-0.03125,No,No,False
0,101660,D,real_direction,1.0,-2.84375,-2.84375,0.0,No,No,False
0,101678,D,real_direction,1.0,-1.15625,-1.15625,0.0,No,No,False
0,101979,D,real_direction,1.0,-0.0625,-0.0625,0.0,No,No,False
0,101985,D,real_direction,1.0,-0.96875,-1.0,-0.03125,No,No,False
0,102112,D,real_direction,1.0,-0.53125,-0.5625,-0.03125,No,No,False
0,102183,D,real_direction,1.0,-0.59375,-0.5625,0.03125,No,No,False
0,102187,D,real_direction,1.0,-0.03125,-0.03125,0.0,No,No,False
0,102242,D,real_direction,1.0,-2.15625,-2.15625,0.0,No,No,False
0,102269,D,real_direction,1.0,-0.34375,-0.34375,0.0,No,No,False
0,102285,D,real_direction,1.0,-1.15625,-1.125,0.03125,No,No,False
0,102334,D,real_direction,1.0,-0.875,-0.875,0.0,No,No,False
0,102393,D,real_direction,1.0,-0.75,-0.75,0.0,No,No,False
0,102470,D,real_direction,1.0,-1.0,-1.0,0.0,No,No,False
0,102559,D,real_direction,1.0,-0.3125,-0.34375,-0.03125,No,No,False
0,102596,D,real_direction,1.0,-0.40625,-0.40625,0.0,No,No,False
0,102600,D,real_direction,1.0,-0.40625,-0.40625,0.0,No,No,False
0,102646,D,real_direction,1.0,-0.34375,-0.34375,0.0,No,No,False
0,102648,D,real_direction,1.0,-0.03125,0.0,0.03125,No,No,False
0,102663,D,real_direction,1.0,-0.40625,-0.40625,0.0,No,No,False
0,102704,D,real_direction,1.0,-0.65625,-0.625,0.03125,No,No,False
0,102734,D,real_direction,1.0,-0.25,-0.28125,-0.03125,No,No,False
0,102761,D,real_direction,1.0,-1.1875,-1.1875,0.0,No,No,False
0,102770,D,real_direction,1.0,-0.25,-0.25,0.0,No,No,False
0,102782,D,real_direction,1.0,-0.09375,-0.0625,0.03125,No,No,False
0,102833,D,real_direction,1.0,-0.21875,-0.1875,0.03125,No,No,False
0,102946,D,real_direction,1.0,-1.125,-1.125,0.0,No,No,False
0,102969,D,real_direction,1.0,-0.40625,-0.40625,0.0,No,No,False
0,103124,D,real_direction,1.0,-0.90625,-0.9375,-0.03125,No,No,False
0,103156,D,real_direction,1.0,-0.375,-0.40625,-0.03125,No,No,False
0,103239,D,real_direction,1.0,-0.375,-0.375,0.0,No,No,False
0,103354,D,real_direction,1.0,-0.71875,-0.71875,0.0,No,No,False
0,103377,D,real_direction,1.0,-0.09375,-0.09375,0.0,No,No,False
0,103382,D,real_direction,1.0,-1.5,-1.5,0.0,No,No,False
