layer,heldout_acc,heldout_auc,threshold,train_A_score_mean,train_D_score_mean,test_A_score_mean,test_D_score_mean,test_D_minus_A_score_gap
0,0.8052631578947368,0.9359556786703601,1.1494481234886056e-09,-0.05927467743719095,0.059274679736087195,-0.05665885042399168,0.06462751166208794,0.12128636208607962
1,0.9052631578947369,0.9775069252077563,-8.471359155826086e-09,-0.07489184268848284,0.07489182574576453,-0.07330025429347235,0.07942747416489414,0.1527277284583665
2,0.9263157894736842,0.9840443213296399,2.4789723718221524e-08,-0.11017911384543894,0.11017916342488637,-0.11122205905787842,0.11487526039739973,0.22609731945527817
3,0.9105263157894737,0.96797783933518,-2.2094402654659895e-08,-0.12692353522012892,0.1269234910313236,-0.12831837632938436,0.13607609533753834,0.2643944716669227
4,0.9263157894736842,0.976398891966759,-3.8894971729486194e-08,-0.15507361101672837,0.1550735332267849,-0.15359581568719524,0.17619171773916797,0.32978753342636324
5,0.8947368421052632,0.9505817174515235,-1.7249074418801413e-08,-0.18191313752414365,0.1819131030259948,-0.19194316073859993,0.2092702372783893,0.40121339801698924
6,0.8894736842105263,0.9496952908587257,-1.7489257611580378e-08,-0.20104100927710533,0.2010409742985901,-0.22045765588746258,0.2282270467129389,0.4486847026004015
7,0.9052631578947369,0.9549030470914127,2.4707007564850336e-08,-0.24276372488392026,0.2427637742979354,-0.2709155313474567,0.2472571729339267,0.5181727042813834
8,0.8894736842105263,0.9631024930747922,5.048748641378609e-10,-0.3153263831217038,0.31532638413145353,-0.3347354808969325,0.3332748674248394,0.6680103483217719
9,0.8842105263157894,0.9604432132963989,-3.305214799076417e-08,-0.31145022036997894,0.31145015426568295,-0.34863855264296656,0.321629405256949,0.6702679578999156
10,0.8263157894736842,0.892409972299169,4.980124923559259e-09,-0.3817810305982436,0.38178104055849343,-0.4326546365836341,0.3965374071347086,0.8291920437183427
11,0.8210526315789474,0.8739058171745152,-1.685007622320711e-07,-0.4541462862177899,0.45414594921626544,-0.5219088895932624,0.46054055545675127,0.9824494450500136
12,0.8105263157894737,0.888421052631579,3.818422555923462e-08,-0.49187541576592547,0.4918754921343766,-0.5624983993113826,0.4640060841645065,1.0265044834758892
13,0.8263157894736842,0.921218836565097,4.707590528507666e-08,-0.5737748348007077,0.5737749289525182,-0.6453321516513825,0.5421962652159364,1.1875284168673188
14,0.8526315789473684,0.9477008310249307,-6.288878229288031e-08,-0.7078642825743086,0.707864156796744,-0.7903066343382785,0.6227649883808274,1.413071622719106
15,0.8842105263157894,0.9571191135734072,-4.7762143018381664e-08,-0.8318242875957176,0.8318241920714315,-0.9323178628557607,0.6887698348415525,1.6210876976973132
16,0.9263157894736842,0.9786149584487535,7.355487663396332e-08,-0.9990527059686811,0.9990528530784344,-1.0508568454729883,0.8754862675541326,1.926343113027121
17,0.9631578947368421,0.9960110803324099,5.019338500389381e-09,-1.5154416234869705,1.5154416335256475,-1.437633856229092,1.4393773845936122,2.8770112408227044
18,0.968421052631579,1.0,-1.5528578867218812e-08,-7.678488049695367,7.678488018638209,-7.068562901882749,7.613498903575697,14.682061805458446
19,0.9789473684210527,1.0,-6.211431369251841e-08,-12.576166397646853,12.576166273418226,-11.68633990279938,12.586183618244371,24.27252352104375
20,0.9842105263157894,1.0,-2.509669094763467e-08,-18.629288552936753,18.62928850274337,-17.557473550972187,18.578699192247893,36.13617274322008
21,0.9789473684210527,1.0,-3.063365028310727e-07,-23.62683367509591,23.626833062422904,-22.19057652416982,23.537807334096808,45.728383858266625
22,0.9842105263157894,1.0,1.330124703713409e-07,-32.238480512719406,32.238480778744346,-30.172157219836585,32.10062948528089,62.272786705117475
23,0.9842105263157894,1.0,3.3002150701122446e-07,-41.537585230877525,41.53758589092054,-39.04402254757128,41.26827868411416,80.31230123168544
24,0.9842105263157894,1.0,-1.2667555573386835e-06,-48.48500740026173,48.485004866750614,-45.417731098124854,48.2726333618164,93.69036445994126
25,0.9789473684210527,0.9997783933518005,-1.9020155868076927e-06,-57.61027650268454,57.61027269865337,-53.77119224385211,57.346486101652445,111.11767834550456
26,0.9736842105263158,0.9997783933518005,-2.049144946170145e-06,-69.11985710796557,69.11985300967568,-64.04899966340317,68.5697723790219,132.61877204242506
