layer,k,alpha,scenario_id,control_type,intervention,normal_margin,intervened_margin,delta_toward_no,normal_decision,intervened_decision,yes_to_no_flip
22,1,0.5,100034,top_writer_neurons,replace,8.21875,7.09375,1.125,Yes,Yes,False
22,1,0.5,100185,top_writer_neurons,replace,17.578125,15.296875,2.28125,Yes,Yes,False
22,1,0.5,100206,top_writer_neurons,replace,9.03125,7.8125,1.21875,Yes,Yes,False
22,1,0.5,100394,top_writer_neurons,replace,8.21875,7.09375,1.125,Yes,Yes,False
22,1,0.5,100459,top_writer_neurons,replace,15.25,13.1875,2.0625,Yes,Yes,False
22,1,0.5,100505,top_writer_neurons,replace,14.0625,12.125,1.9375,Yes,Yes,False
22,1,0.5,100747,top_writer_neurons,replace,5.5,4.71875,0.78125,Yes,Yes,False
22,1,0.5,100791,top_writer_neurons,replace,6.5625,5.5625,1.0,Yes,Yes,False
22,1,0.5,100798,top_writer_neurons,replace,9.5,8.21875,1.28125,Yes,Yes,False
22,1,0.5,100850,top_writer_neurons,replace,5.3125,4.59375,0.71875,Yes,Yes,False
22,1,0.5,100919,top_writer_neurons,replace,10.46875,9.0625,1.40625,Yes,Yes,False
22,1,0.5,100921,top_writer_neurons,replace,14.515625,12.625,1.890625,Yes,Yes,False
22,1,0.5,100927,top_writer_neurons,replace,11.71875,10.03125,1.6875,Yes,Yes,False
22,1,0.5,100962,top_writer_neurons,replace,9.9375,8.65625,1.28125,Yes,Yes,False
22,1,0.5,101109,top_writer_neurons,replace,18.9375,16.546875,2.390625,Yes,Yes,False
22,1,0.5,101157,top_writer_neurons,replace,16.21875,14.1875,2.03125,Yes,Yes,False
22,1,0.5,101397,top_writer_neurons,replace,9.5625,8.25,1.3125,Yes,Yes,False
22,1,0.5,101521,top_writer_neurons,replace,14.0625,12.125,1.9375,Yes,Yes,False
22,1,0.5,101559,top_writer_neurons,replace,12.15625,10.5625,1.59375,Yes,Yes,False
22,1,0.5,101582,top_writer_neurons,replace,10.0625,8.75,1.3125,Yes,Yes,False
22,1,0.5,101660,top_writer_neurons,replace,14.09375,12.28125,1.8125,Yes,Yes,False
22,1,0.5,101678,top_writer_neurons,replace,15.171875,13.265625,1.90625,Yes,Yes,False
22,1,0.5,101979,top_writer_neurons,replace,12.21875,10.65625,1.5625,Yes,Yes,False
22,1,0.5,101985,top_writer_neurons,replace,7.71875,6.625,1.09375,Yes,Yes,False
22,1,0.5,102112,top_writer_neurons,replace,10.0625,8.75,1.3125,Yes,Yes,False
22,1,0.5,102183,top_writer_neurons,replace,11.21875,9.78125,1.4375,Yes,Yes,False
22,1,0.5,102187,top_writer_neurons,replace,8.03125,6.90625,1.125,Yes,Yes,False
22,1,0.5,102242,top_writer_neurons,replace,12.90625,11.21875,1.6875,Yes,Yes,False
22,1,0.5,102269,top_writer_neurons,replace,14.0,12.265625,1.734375,Yes,Yes,False
22,1,0.5,102285,top_writer_neurons,replace,15.171875,13.265625,1.90625,Yes,Yes,False
