layer,k,alpha,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean
20,1,0.5,-0.00027412280701754384,0.0
20,1,1.0,0.0021381578947368422,0.0
20,1,1.5,0.000274122807017544,0.0
20,1,2.0,-0.0029605263157894738,0.0
20,5,0.5,7.228014483236696e-20,0.0
20,5,1.0,-0.0021381578947368422,0.0
20,5,1.5,-0.0037828947368421053,0.0
20,5,2.0,0.01019736842105263,0.0
20,10,0.5,0.002302631578947368,0.0
20,10,1.0,0.005921052631578948,0.0
20,10,1.5,-0.0044407894736842105,0.0
20,10,2.0,-0.010526315789473684,0.0
20,20,0.5,0.005592105263157895,0.0
20,20,1.0,0.000767543859649123,0.0
20,20,1.5,-0.007346491228070175,0.0
20,20,2.0,-0.0032346491228070185,0.0
20,50,0.5,-0.013212719298245613,0.0
20,50,1.0,0.019407894736842107,0.0
20,50,1.5,-0.008223684210526315,0.0
20,50,2.0,-0.01600877192982456,0.0
22,1,0.5,-0.0008223684210526316,0.0
22,1,1.0,0.0004934210526315789,0.0
22,1,1.5,0.00027412280701754384,0.0
22,1,2.0,-0.0042763157894736845,0.0
22,5,0.5,-0.0019188596491228071,0.0
22,5,1.0,-0.0008771929824561404,0.0
22,5,1.5,0.029221491228070176,0.0
22,5,2.0,0.004495614035087719,0.0
22,10,0.5,-0.001151315789473684,0.0
22,10,1.0,-0.007072368421052632,0.0
22,10,1.5,0.0031798245614035087,0.0
22,10,2.0,0.00487938596491228,0.0
22,20,0.5,0.0014802631578947369,0.0
22,20,1.0,0.011951754385964913,0.0
22,20,1.5,0.02362938596491228,0.0
22,20,2.0,-0.003453947368421053,0.0
22,50,0.5,0.003947368421052632,0.0
22,50,1.0,-0.005317982456140351,0.0
22,50,1.5,-0.0817982456140351,0.0
22,50,2.0,-0.002960526315789476,0.0
23,1,0.5,-0.0042763157894736845,0.0
23,1,1.0,-0.002412280701754386,0.0
23,1,1.5,5.48245614035088e-05,0.0
23,1,2.0,3.614007241618348e-20,0.0
23,5,0.5,0.0003289473684210525,0.0
23,5,1.0,0.004714912280701754,0.0
23,5,1.5,-0.014473684210526317,0.0
23,5,2.0,-0.005756578947368421,0.0
23,10,0.5,-0.0029605263157894738,0.0
23,10,1.0,-0.002905701754385965,0.0
23,10,1.5,-0.008607456140350876,0.0
23,10,2.0,0.008223684210526315,0.0
23,20,0.5,-0.005482456140350877,0.0
23,20,1.0,0.00016447368421052653,0.0
23,20,1.5,0.005043859649122807,0.0
23,20,2.0,-0.002357456140350877,0.0
23,50,0.5,0.0012609649122807024,0.0
23,50,1.0,0.002850877192982456,0.0
23,50,1.5,0.013760964912280701,0.0
23,50,2.0,-0.0350328947368421,0.0
