scenario_id,split
100035,train
100086,train
100230,train
100266,train
100279,train
100419,train
100548,train
100619,train
100702,train
100792,train
100831,train
100900,train
100909,train
101121,train
101156,train
101269,train
101311,train
101502,train
101586,train
101600,train
101666,train
101749,train
101755,train
101822,train
101839,train
101975,train
102046,train
102092,train
102132,train
102146,train
102210,train
102215,train
102232,train
102308,train
102360,train
102429,train
102441,train
102560,train
102789,train
102993,train
103070,train
103074,train
103108,train
103163,train
103167,train
103188,train
103200,train
103201,train
103208,train
103256,train
103259,train
103336,train
103420,train
103460,train
103490,train
103563,train
103566,train
103679,train
103684,train
103689,train
103750,train
103868,train
104000,train
104146,train
104199,train
104315,train
104425,train
104486,train
104539,train
104640,train
104645,train
104702,train
105079,train
105098,train
105137,train
105272,train
105362,train
105521,train
105585,train
105621,train
105623,train
105674,train
105749,train
105933,train
105948,train
106037,train
106091,train
106158,train
106159,train
106165,train
106219,train
106317,train
106715,train
107067,train
107305,train
100034,test
100185,test
100206,test
100394,test
100459,test
100505,test
100747,test
100791,test
100798,test
100850,test
100919,test
100921,test
100927,test
100962,test
101109,test
101157,test
101397,test
101521,test
101559,test
101582,test
101660,test
101678,test
101979,test
101985,test
102112,test
102183,test
102187,test
102242,test
102269,test
102285,test
102334,test
102393,test
102470,test
102559,test
102596,test
102600,test
102646,test
102648,test
102663,test
102704,test
102734,test
102761,test
102770,test
102782,test
102833,test
102946,test
102969,test
103124,test
103156,test
103239,test
103354,test
103377,test
103382,test
103470,test
103582,test
103628,test
103671,test
103672,test
103691,test
103766,test
103792,test
103847,test
103920,test
103971,test
103998,test
104043,test
104083,test
104114,test
104217,test
104248,test
104384,test
104463,test
104514,test
104537,test
104606,test
104688,test
104689,test
104828,test
104957,test
105160,test
105315,test
105478,test
105569,test
105659,test
105724,test
105789,test
105796,test
105798,test
105953,test
106145,test
106278,test
106314,test
106566,test
106702,test
106703,test
