layer,k,alpha,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean
20,20,2.0,-0.0032346491228070185,0.0
20,20,2.5,0.012774122807017544,0.0
20,20,3.0,0.021765350877192984,0.0
20,20,4.0,0.02900219298245614,0.0
20,50,2.0,-0.01600877192982456,0.0
20,50,2.5,0.04736842105263158,0.0
20,50,3.0,0.006030701754385963,0.0
20,50,4.0,0.057675438596491234,0.0
20,100,2.0,0.03333333333333333,0.0
20,100,2.5,-0.09007675438596491,0.0
20,100,3.0,0.4178179824561403,0.0
20,100,4.0,-0.04764254385964911,0.0
22,20,2.0,-0.003453947368421053,0.0
22,20,2.5,-0.014254385964912282,0.0
22,20,3.0,0.01864035087719298,0.0
22,20,4.0,-0.08020833333333333,0.0
22,50,2.0,-0.002960526315789476,0.0
22,50,2.5,-0.01770833333333333,0.0
22,50,3.0,-0.009539473684210526,0.0
22,50,4.0,-0.02927631578947369,0.0
22,100,2.0,-0.013815789473684212,0.0
22,100,2.5,-0.02856359649122807,0.0
22,100,3.0,-0.2594298245614035,0.0
22,100,4.0,5.06891447368421,0.29473684210526313
23,20,2.0,-0.002357456140350877,0.0
23,20,2.5,-0.006085526315789473,0.0
23,20,3.0,0.01836622807017544,0.0
23,20,4.0,-0.04100877192982456,0.0
23,50,2.0,-0.0350328947368421,0.0
23,50,2.5,-0.017982456140350878,0.0
23,50,3.0,0.012390350877192981,0.0
23,50,4.0,0.015570175438596493,0.0
23,100,2.0,0.08739035087719299,0.0
23,100,2.5,-0.02817982456140351,0.0
23,100,3.0,0.23410087719298245,0.0
23,100,4.0,-0.00849780701754386,0.0
