layer,k,random_delta_toward_yes_mean,random_no_to_yes_flip_rate_mean
20,1,0.0014254385964912282,0.0
20,5,0.002412280701754386,0.0
20,10,0.008881578947368421,0.007017543859649123
20,20,-0.0009868421052631577,0.0
20,50,0.00581140350877193,0.0
22,1,0.002412280701754386,0.0
22,5,0.000986842105263158,0.0
22,10,-0.0004385964912280702,0.0
22,20,-0.00010964912280701756,0.0
22,50,-0.0042763157894736845,0.0035087719298245615
23,1,0.001973684210526316,0.0
23,5,0.0013157894736842105,0.0
23,10,0.003289473684210526,0.0
23,20,0.0018640350877192982,0.0
23,50,0.004714912280701754,0.0035087719298245615
