layer,k,scenario_id,control_type,ablation_mode,normal_margin,intervened_margin,delta_toward_yes,normal_decision,intervened_decision,no_to_yes_flip
22,1,100034,top_writer_neurons,zero,-0.8125,-0.53125,0.28125,No,No,False
22,1,100185,top_writer_neurons,zero,-0.65625,-0.28125,0.375,No,No,False
22,1,100206,top_writer_neurons,zero,-0.25,-0.03125,0.21875,No,No,False
22,1,100394,top_writer_neurons,zero,-0.0625,0.09375,0.15625,No,Yes,True
22,1,100459,top_writer_neurons,zero,-1.875,-1.21875,0.65625,No,No,False
22,1,100505,top_writer_neurons,zero,-0.78125,-0.3125,0.46875,No,No,False
22,1,100747,top_writer_neurons,zero,-0.28125,0.125,0.40625,No,Yes,True
22,1,100791,top_writer_neurons,zero,-0.59375,-0.21875,0.375,No,No,False
22,1,100798,top_writer_neurons,zero,-0.1875,0.21875,0.40625,No,Yes,True
22,1,100850,top_writer_neurons,zero,-0.34375,0.09375,0.4375,No,Yes,True
22,1,100919,top_writer_neurons,zero,-0.1875,0.125,0.3125,No,Yes,True
22,1,100921,top_writer_neurons,zero,-0.78125,-0.34375,0.4375,No,No,False
22,1,100927,top_writer_neurons,zero,-0.40625,-0.125,0.28125,No,No,False
22,1,100962,top_writer_neurons,zero,-0.25,0.15625,0.40625,No,Yes,True
22,1,101109,top_writer_neurons,zero,-1.125,-0.6875,0.4375,No,No,False
22,1,101157,top_writer_neurons,zero,-0.84375,-0.1875,0.65625,No,No,False
22,1,101397,top_writer_neurons,zero,0.0,0.25,0.25,No,Yes,True
22,1,101521,top_writer_neurons,zero,-0.34375,0.03125,0.375,No,Yes,True
22,1,101559,top_writer_neurons,zero,-0.03125,0.1875,0.21875,No,Yes,True
22,1,101582,top_writer_neurons,zero,-1.15625,-0.75,0.40625,No,No,False
22,1,101660,top_writer_neurons,zero,-2.84375,-1.46875,1.375,No,No,False
22,1,101678,top_writer_neurons,zero,-1.15625,-0.375,0.78125,No,No,False
22,1,101979,top_writer_neurons,zero,-0.0625,0.4375,0.5,No,Yes,True
22,1,101985,top_writer_neurons,zero,-0.96875,-0.28125,0.6875,No,No,False
22,1,102112,top_writer_neurons,zero,-0.53125,-0.28125,0.25,No,No,False
22,1,102183,top_writer_neurons,zero,-0.59375,-0.34375,0.25,No,No,False
22,1,102187,top_writer_neurons,zero,-0.03125,0.5,0.53125,No,Yes,True
22,1,102242,top_writer_neurons,zero,-2.15625,-1.09375,1.0625,No,No,False
