selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
global_multilayer_ci_top_delta_steer,multi,1,0.25,add_CI_D_minus_A_neuron_delta,-0.0019736842105263154,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,1,0.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,1,1.0,add_CI_D_minus_A_neuron_delta,-0.002631578947368421,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,1,1.5,add_CI_D_minus_A_neuron_delta,-0.002302631578947368,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,1,2.0,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,1,3.0,add_CI_D_minus_A_neuron_delta,-0.0012061403508771928,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,0.25,add_CI_D_minus_A_neuron_delta,-0.001644736842105263,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,0.5,add_CI_D_minus_A_neuron_delta,-0.0025219298245614035,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,1.0,add_CI_D_minus_A_neuron_delta,-0.0037280701754385964,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,1.5,add_CI_D_minus_A_neuron_delta,-0.0020833333333333333,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,2.0,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,5,3.0,add_CI_D_minus_A_neuron_delta,-0.005482456140350878,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,0.5,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,1.0,add_CI_D_minus_A_neuron_delta,-0.006359649122807017,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,1.5,add_CI_D_minus_A_neuron_delta,-0.006578947368421052,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,2.0,add_CI_D_minus_A_neuron_delta,-0.008223684210526315,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,10,3.0,add_CI_D_minus_A_neuron_delta,-0.012500000000000002,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,0.25,add_CI_D_minus_A_neuron_delta,-0.0035087719298245615,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,0.5,add_CI_D_minus_A_neuron_delta,-0.0023026315789473686,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,1.0,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,1.5,add_CI_D_minus_A_neuron_delta,-0.0028508771929824563,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,2.0,add_CI_D_minus_A_neuron_delta,-0.0013157894736842111,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,20,3.0,add_CI_D_minus_A_neuron_delta,-0.0009868421052631575,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,50,0.25,add_CI_D_minus_A_neuron_delta,-0.001206140350877193,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,50,0.5,add_CI_D_minus_A_neuron_delta,0.0001096491228070173,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,50,1.0,add_CI_D_minus_A_neuron_delta,0.0010964912280701754,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,50,1.5,add_CI_D_minus_A_neuron_delta,0.005153508771929824,0.0035087719298245615,0.0035087719298245615
global_multilayer_ci_top_delta_steer,multi,50,2.0,add_CI_D_minus_A_neuron_delta,0.008662280701754385,0.0035087719298245615,0.0035087719298245615
global_multilayer_ci_top_delta_steer,multi,50,3.0,add_CI_D_minus_A_neuron_delta,0.01293859649122807,0.010526315789473684,0.010526315789473684
global_multilayer_ci_top_delta_steer,multi,100,0.25,add_CI_D_minus_A_neuron_delta,-0.010197368421052632,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,100,0.5,add_CI_D_minus_A_neuron_delta,-0.017982456140350878,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,100,1.0,add_CI_D_minus_A_neuron_delta,-0.033662280701754387,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,100,1.5,add_CI_D_minus_A_neuron_delta,-0.048793859649122806,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,100,2.0,add_CI_D_minus_A_neuron_delta,-0.06282894736842105,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,100,3.0,add_CI_D_minus_A_neuron_delta,-0.09331140350877193,0.0,0.0
