selection_id,selection_name,layer,k,alpha,scenario_id,control_type,target,normal_margin,patched_margin,delta_toward_no,normal_decision,patched_decision,yes_to_no_flip,patched_no,normal_yes_logit,normal_no_logit,patched_yes_logit,patched_no_logit,num_layers_patched,num_neurons_patched
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100034,ci_top_neurons,actual_ci_D_same_prompt,0.5625,-0.375,0.9375,Yes,No,True,True,36.40625,35.84375,36.0,36.375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100185,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-0.375,0.90625,Yes,No,True,True,33.8125,33.28125,33.5625,33.9375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100206,ci_top_neurons,actual_ci_D_same_prompt,0.5,-0.15625,0.65625,Yes,No,True,True,35.3125,34.8125,35.09375,35.25,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100394,ci_top_neurons,actual_ci_D_same_prompt,1.1875,0.28125,0.90625,Yes,Yes,False,False,36.5625,35.375,36.15625,35.875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100459,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-1.0625,1.59375,Yes,No,True,True,36.65625,36.125,36.15625,37.21875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100505,ci_top_neurons,actual_ci_D_same_prompt,0.5,-0.40625,0.90625,Yes,No,True,True,35.5625,35.0625,35.28125,35.6875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100747,ci_top_neurons,actual_ci_D_same_prompt,0.15625,-0.15625,0.3125,Yes,No,True,True,35.375,35.21875,35.59375,35.75,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100791,ci_top_neurons,actual_ci_D_same_prompt,0.375,-0.40625,0.78125,Yes,No,True,True,33.75,33.375,33.65625,34.0625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100798,ci_top_neurons,actual_ci_D_same_prompt,0.96875,0.15625,0.8125,Yes,Yes,False,False,35.9375,34.96875,35.65625,35.5,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100850,ci_top_neurons,actual_ci_D_same_prompt,0.4375,-0.125,0.5625,Yes,No,True,True,35.71875,35.28125,35.71875,35.84375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100919,ci_top_neurons,actual_ci_D_same_prompt,1.46875,0.21875,1.25,Yes,Yes,False,False,35.46875,34.0,35.25,35.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100921,ci_top_neurons,actual_ci_D_same_prompt,0.46875,-0.40625,0.875,Yes,No,True,True,36.28125,35.8125,35.9375,36.34375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100927,ci_top_neurons,actual_ci_D_same_prompt,0.21875,-0.21875,0.4375,Yes,No,True,True,34.75,34.53125,34.96875,35.1875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,100962,ci_top_neurons,actual_ci_D_same_prompt,0.8125,0.09375,0.71875,Yes,Yes,False,False,35.25,34.4375,35.15625,35.0625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101109,ci_top_neurons,actual_ci_D_same_prompt,0.59375,-0.5,1.09375,Yes,No,True,True,36.59375,36.0,36.1875,36.6875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101157,ci_top_neurons,actual_ci_D_same_prompt,0.65625,-0.375,1.03125,Yes,No,True,True,35.40625,34.75,35.15625,35.53125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101397,ci_top_neurons,actual_ci_D_same_prompt,0.5625,0.15625,0.40625,Yes,Yes,False,False,35.125,34.5625,35.15625,35.0,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101521,ci_top_neurons,actual_ci_D_same_prompt,0.5,-0.15625,0.65625,Yes,No,True,True,35.625,35.125,35.5,35.65625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101559,ci_top_neurons,actual_ci_D_same_prompt,0.6875,0.15625,0.53125,Yes,Yes,False,False,33.78125,33.09375,33.65625,33.5,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101582,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.71875,0.90625,Yes,No,True,True,35.71875,35.53125,35.5,36.21875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101660,ci_top_neurons,actual_ci_D_same_prompt,1.3125,-1.375,2.6875,Yes,No,True,True,37.0,35.6875,36.1875,37.5625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101678,ci_top_neurons,actual_ci_D_same_prompt,0.53125,-0.71875,1.25,Yes,No,True,True,35.09375,34.5625,34.75,35.46875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101979,ci_top_neurons,actual_ci_D_same_prompt,1.71875,0.5625,1.15625,Yes,Yes,False,False,34.4375,32.71875,34.15625,33.59375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,101985,ci_top_neurons,actual_ci_D_same_prompt,0.1875,-0.71875,0.90625,Yes,No,True,True,34.25,34.0625,34.15625,34.875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102112,ci_top_neurons,actual_ci_D_same_prompt,0.5625,-0.21875,0.78125,Yes,No,True,True,35.96875,35.40625,35.71875,35.9375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102183,ci_top_neurons,actual_ci_D_same_prompt,0.3125,-0.34375,0.65625,Yes,No,True,True,33.75,33.4375,33.6875,34.03125,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102187,ci_top_neurons,actual_ci_D_same_prompt,1.34375,0.28125,1.0625,Yes,Yes,False,False,34.8125,33.46875,34.78125,34.5,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102242,ci_top_neurons,actual_ci_D_same_prompt,0.0625,-1.46875,1.53125,Yes,No,True,True,34.59375,34.53125,34.09375,35.5625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102269,ci_top_neurons,actual_ci_D_same_prompt,0.8125,-0.03125,0.84375,Yes,No,True,True,36.0,35.1875,36.125,36.15625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102285,ci_top_neurons,actual_ci_D_same_prompt,1.0625,-0.53125,1.59375,Yes,No,True,True,36.3125,35.25,35.8125,36.34375,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102334,ci_top_neurons,actual_ci_D_same_prompt,1.65625,0.0,1.65625,Yes,No,True,True,38.1875,36.53125,37.6875,37.6875,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102393,ci_top_neurons,actual_ci_D_same_prompt,0.15625,-0.5,0.65625,Yes,No,True,True,34.3125,34.15625,34.15625,34.65625,5,100
global_k100_ci_top,global_multilayer_ci_top,multi,100,1.0,102470,ci_top_neurons,actual_ci_D_same_prompt,3.21875,0.21875,3.0,Yes,Yes,False,False,36.34375,33.125,35.375,35.15625,5,100
