selection_name,layer,k,alpha,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
global_multilayer_ci_top,multi,1,1.0,-0.002631578947368421,0.0,0.0
global_multilayer_ci_top,multi,5,1.0,-0.002412280701754386,0.0,0.0
global_multilayer_ci_top,multi,10,1.0,-0.002850877192982456,0.0,0.0
global_multilayer_ci_top,multi,20,1.0,-0.0033991228070175436,0.0,0.0
global_multilayer_ci_top,multi,50,1.0,-0.002631578947368421,0.0,0.0
global_multilayer_ci_top,multi,100,1.0,-0.007017543859649123,0.0,0.0
global_multilayer_ci_top,multi,200,1.0,-0.002521929824561403,0.0,0.0
global_multilayer_ci_top,multi,500,1.0,0.006469298245614035,0.0,0.0
layerwise_ci_top,20,1,1.0,-0.0030701754385964917,0.0,0.0
layerwise_ci_top,20,5,1.0,-0.003289473684210526,0.0,0.0
layerwise_ci_top,20,10,1.0,-0.0021929824561403508,0.0,0.0
layerwise_ci_top,20,20,1.0,-0.001206140350877193,0.0,0.0
layerwise_ci_top,20,50,1.0,0.0019736842105263154,0.0,0.0
layerwise_ci_top,20,100,1.0,-0.005043859649122807,0.0,0.0
layerwise_ci_top,20,200,1.0,-0.008223684210526315,0.0,0.0
layerwise_ci_top,20,500,1.0,0.00932017543859649,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top,22,1,1.0,-0.002521929824561403,0.0,0.0
layerwise_ci_top,22,5,1.0,-0.0029605263157894738,0.0,0.0
layerwise_ci_top,22,10,1.0,-0.003070175438596491,0.0,0.0
layerwise_ci_top,22,20,1.0,0.11765350877192983,0.04912280701754385,0.04912280701754385
layerwise_ci_top,22,50,1.0,-0.00493421052631579,0.0,0.0
layerwise_ci_top,22,100,1.0,-0.0017543859649122803,0.0,0.0
layerwise_ci_top,22,200,1.0,0.12302631578947369,0.0456140350877193,0.0456140350877193
layerwise_ci_top,22,500,1.0,-0.0010964912280701754,0.0,0.0
layerwise_ci_top,23,1,1.0,-0.0020833333333333333,0.0,0.0
layerwise_ci_top,23,5,1.0,-0.0035087719298245615,0.0,0.0
layerwise_ci_top,23,10,1.0,-0.0020833333333333333,0.0,0.0
layerwise_ci_top,23,20,1.0,-0.002850877192982456,0.0,0.0
layerwise_ci_top,23,50,1.0,-0.003399122807017544,0.0,0.0
layerwise_ci_top,23,100,1.0,-0.0037280701754385964,0.0,0.0
layerwise_ci_top,23,200,1.0,-0.003399122807017544,0.0,0.0
layerwise_ci_top,23,500,1.0,-0.00581140350877193,0.0,0.0
layerwise_ci_top,26,1,1.0,-0.0017543859649122807,0.0,0.0
layerwise_ci_top,26,5,1.0,-0.0003289473684210526,0.0,0.0
layerwise_ci_top,26,10,1.0,-0.002631578947368421,0.0,0.0
layerwise_ci_top,26,20,1.0,-0.0017543859649122807,0.0,0.0
layerwise_ci_top,26,50,1.0,-0.002302631578947368,0.0,0.0
layerwise_ci_top,26,100,1.0,-0.0020833333333333333,0.0,0.0
layerwise_ci_top,26,200,1.0,-0.005482456140350877,0.0,0.0
layerwise_ci_top,26,500,1.0,0.047697368421052634,0.010526315789473684,0.010526315789473684
layerwise_ci_top,27,1,1.0,0.00010964912280701755,0.0,0.0
layerwise_ci_top,27,5,1.0,-0.00010964912280701755,0.0,0.0
layerwise_ci_top,27,10,1.0,-0.0003289473684210526,0.0,0.0
layerwise_ci_top,27,20,1.0,-0.0029605263157894738,0.0,0.0
layerwise_ci_top,27,50,1.0,-0.0031798245614035087,0.0,0.0
layerwise_ci_top,27,100,1.0,0.0031798245614035087,0.0,0.0
layerwise_ci_top,27,200,1.0,0.011951754385964913,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top,27,500,1.0,-0.006798245614035088,0.0,0.0
