model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,0,190,6.494325657894737,6.5,6.494325657894737,6.5,6.596299342105263,0.021052631578947368
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,1,190,6.746134868421053,6.609375,6.746134868421053,6.609375,6.875740131578947,0.031578947368421054
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,2,190,6.821052631578947,6.640625,6.821052631578947,6.640625,6.961842105263158,0.031578947368421054
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,3,190,7.729851973684211,7.75,7.729851973684211,7.75,7.803865131578948,0.015789473684210527
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,4,190,7.845559210526316,7.90625,7.845559210526316,7.90625,7.9077302631578945,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,5,190,7.8129934210526315,7.828125,7.8129934210526315,7.828125,7.872203947368421,0.015789473684210527
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,6,190,7.939391447368421,7.859375,7.939391447368421,7.859375,7.980838815789474,0.015789473684210527
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,7,190,8.257894736842106,8.1171875,8.257894736842106,8.1171875,8.275,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,8,190,8.370888157894736,8.15625,8.370888157894736,8.15625,8.382730263157894,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,9,190,8.106003289473684,7.859375,8.106003289473684,7.859375,8.112253289473685,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,10,190,7.813569078947369,7.53125,7.813569078947369,7.53125,7.813569078947369,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,11,190,7.296710526315789,7.109375,7.296710526315789,7.109375,7.2993421052631575,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,12,190,5.864309210526316,5.859375,5.864309210526316,5.859375,5.869901315789473,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,13,190,4.256578947368421,4.3203125,4.256578947368421,4.3203125,4.2993421052631575,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,14,190,3.7163651315789474,3.640625,3.7163651315789474,3.640625,3.745970394736842,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,15,190,2.223684210526316,2.09375,2.223684210526316,2.09375,2.276644736842105,0.02631578947368421
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,16,190,1.2883223684210525,1.25,1.2883223684210525,1.25,1.3126644736842106,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,17,190,0.6110197368421053,0.59375,0.6110197368421053,0.59375,0.678453947368421,0.02631578947368421
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,18,190,0.08585526315789474,0.0625,0.08585526315789474,0.0625,0.1006578947368421,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,19,190,0.008223684210526315,0.0,0.008223684210526315,0.0,0.01875,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,20,190,0.002631578947368421,0.0,0.002631578947368421,0.0,0.014802631578947368,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,21,190,0.000986842105263158,0.0,0.000986842105263158,0.0,0.012171052631578947,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,22,190,0.001151315789473684,0.0,0.001151315789473684,0.0,0.011348684210526316,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,23,190,0.0021381578947368422,0.0,0.0021381578947368422,0.0,0.011677631578947368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,24,190,0.0021381578947368422,0.0,0.0021381578947368422,0.0,0.011677631578947368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,25,190,0.0021381578947368422,0.0,0.0021381578947368422,0.0,0.01069078947368421,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,26,190,0.002302631578947368,0.0,0.002302631578947368,0.0,0.011513157894736841,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_A_to_D,27,190,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,0,190,-5.899177631578947,-5.6875,5.899177631578947,5.6875,5.93125,0.06842105263157895
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,1,190,-6.101315789473684,-5.9140625,6.101315789473684,5.9140625,6.1264802631578945,0.05789473684210526
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,2,190,-6.181907894736842,-5.96875,6.181907894736842,5.96875,6.205756578947368,0.05789473684210526
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,3,190,-7.09983552631579,-6.9296875,7.09983552631579,6.9296875,7.112171052631579,0.06842105263157895
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,4,190,-7.412993421052631,-7.265625,7.412993421052631,7.265625,7.4194078947368425,0.06842105263157895
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,5,190,-7.64671052631579,-7.4453125,7.64671052631579,7.4453125,7.655098684210526,0.06842105263157895
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,6,190,-7.643996710526316,-7.3203125,7.643996710526316,7.3203125,7.654194078947368,0.06315789473684211
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,7,190,-8.093338815789474,-8.21875,8.093338815789474,8.21875,8.108470394736843,0.06315789473684211
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,8,190,-8.216694078947368,-8.3359375,8.216694078947368,8.3359375,8.225575657894737,0.05789473684210526
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,9,190,-7.63108552631579,-7.8046875,7.63108552631579,7.8046875,7.646217105263158,0.031578947368421054
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,10,190,-7.215296052631579,-7.2578125,7.215296052631579,7.2578125,7.222203947368421,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,11,190,-7.093585526315789,-7.265625,7.093585526315789,7.265625,7.096546052631579,0.015789473684210527
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,12,190,-5.344819078947369,-5.4375,5.344819078947369,5.4375,5.357319078947368,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,13,190,-3.1657072368421053,-3.15625,3.1657072368421053,3.15625,3.171299342105263,0.005263157894736842
