model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,0,85,11.881617647058823,12.34375,11.881617647058823,12.34375,11.881617647058823,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,1,85,11.882536764705883,12.28125,11.882536764705883,12.28125,11.882536764705883,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,2,85,11.888786764705882,12.328125,11.888786764705882,12.328125,11.888786764705882,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,3,85,11.895404411764705,12.40625,11.895404411764705,12.40625,11.895404411764705,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,4,85,11.869485294117647,12.3125,11.869485294117647,12.3125,11.869485294117647,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,5,85,11.844301470588235,12.296875,11.844301470588235,12.296875,11.844301470588235,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,6,85,11.68547794117647,12.203125,11.68547794117647,12.203125,11.68547794117647,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,7,85,11.161948529411765,11.75,11.161948529411765,11.75,11.161948529411765,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,8,85,11.188786764705883,11.78125,11.188786764705883,11.78125,11.188786764705883,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,9,85,10.756801470588234,11.0625,10.756801470588234,11.0625,10.756801470588234,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,10,85,10.241360294117648,10.65625,10.241360294117648,10.65625,10.241360294117648,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,11,85,9.275919117647058,10.015625,9.275919117647058,10.015625,9.275919117647058,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,12,85,7.807169117647059,8.1875,7.807169117647059,8.1875,7.807169117647059,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,13,85,5.877205882352941,6.125,5.877205882352941,6.125,5.935294117647059,0.047058823529411764
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,14,85,4.720772058823529,4.765625,4.720772058823529,4.765625,4.787683823529412,0.03529411764705882
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,15,85,2.8727941176470586,2.84375,2.8727941176470586,2.84375,2.883088235294118,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,16,85,1.6216911764705881,1.53125,1.6216911764705881,1.53125,1.6216911764705881,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,17,85,0.7238970588235294,0.71875,0.7238970588235294,0.71875,0.7518382352941176,0.023529411764705882
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,18,85,0.10036764705882353,0.09375,0.10036764705882353,0.09375,0.1275735294117647,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,19,85,0.0033088235294117647,0.0,0.0033088235294117647,0.0,0.020955882352941175,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,20,85,0.004411764705882353,0.0,0.004411764705882353,0.0,0.01838235294117647,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,21,85,0.004411764705882353,0.0,0.004411764705882353,0.0,0.020588235294117647,0.011764705882352941
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,22,85,0.0033088235294117647,0.0,0.0033088235294117647,0.0,0.014338235294117646,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,23,85,0.0011029411764705882,0.0,0.0011029411764705882,0.0,0.014338235294117646,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,24,85,-0.0011029411764705882,0.0,-0.0011029411764705882,0.0,0.014338235294117646,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,25,85,0.002573529411764706,0.0,0.002573529411764706,0.0,0.015073529411764706,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,26,85,0.004411764705882353,0.0,0.004411764705882353,0.0,0.0125,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_A_to_D,27,85,0.0,0.0,0.0,0.0,0.0,0.0
