scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
100034,A,recipient_last,0,0.9999961256980896,14.702733039855957,14.691919326782227,0.9992645100033839
100034,A,recipient_last,1,0.9999885559082031,19.57250213623047,19.56524085998535,0.9996290062356578
100034,A,recipient_last,2,0.9999737739562988,31.539674758911133,31.601285934448242,1.0019534499327614
100034,A,recipient_last,3,0.9999547004699707,36.96589279174805,37.036903381347656,1.0019209759114884
100034,A,recipient_last,4,0.9999323487281799,40.02937698364258,40.09629821777344,1.0016718030400076
100034,A,recipient_last,5,0.9999269843101501,41.854469299316406,41.89950180053711,1.0010759305272434
100034,A,recipient_last,6,0.9999080896377563,46.200950622558594,46.2176513671875,1.000361480541068
100034,A,recipient_last,7,0.9999358057975769,55.47974395751953,55.474735260009766,0.9999097202482837
100034,A,recipient_last,8,0.9999396800994873,64.2347183227539,64.18488311767578,0.9992241702559086
100034,A,recipient_last,9,0.9999243021011353,61.368350982666016,61.399452209472656,1.0005067958696727
100034,A,recipient_last,10,0.9999194145202637,67.05457305908203,67.10623931884766,1.0007705106066382
100034,A,recipient_last,11,0.9999185800552368,67.9271240234375,68.04631042480469,1.0017546216342983
100034,A,recipient_last,12,0.9999054670333862,69.18270111083984,69.34728240966797,1.0023789371647176
100034,A,recipient_last,13,0.9998881220817566,78.39573669433594,78.60127258300781,1.0026217738022318
100034,A,recipient_last,14,0.9998536705970764,80.27678680419922,80.28195190429688,1.000064341141484
100034,A,recipient_last,15,0.9998253583908081,84.38504791259766,84.3406753540039,0.9994741656289665
100034,A,recipient_last,16,0.9997603893280029,85.52320861816406,85.52285766601562,0.9999958964104118
100034,A,recipient_last,17,0.9997044205665588,88.46533203125,88.3927993774414,0.9991801008130171
100034,A,recipient_last,18,0.9997156858444214,98.53242492675781,98.1854019165039,0.9964780831232779
100034,A,recipient_last,19,0.9996732473373413,110.23493194580078,109.78687286376953,0.9959354165315624
100034,A,recipient_last,20,0.9996700286865234,129.2449188232422,128.81240844726562,0.9966535599239451
100034,A,recipient_last,21,0.999647319316864,148.576416015625,147.98475646972656,0.996017809812856
100034,A,recipient_last,22,0.9995775818824768,169.5599822998047,168.94610595703125,0.9963795918444481
100034,A,recipient_last,23,0.9995798468589783,211.09385681152344,210.0387420654297,0.9950016795276244
100034,A,recipient_last,24,0.9995545744895935,263.1051940917969,262.1521911621094,0.9963778634892514
100034,A,recipient_last,25,0.9994671940803528,311.09771728515625,310.1026916503906,0.9968015656191602
100034,A,recipient_last,26,0.9993210434913635,385.998291015625,385.1831970214844,0.9978883481789622
100034,A,recipient_last,27,0.9983433485031128,294.7015686035156,295.47113037109375,1.0026113256581048
100034,A,purpose_last,0,0.9999969601631165,12.898500442504883,12.896764755249023,0.999865434957839
