component,layer,mode,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
attn,0,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
attn,0,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,0,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
attn,0,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,0,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
attn,0,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
attn,1,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6555921052631579,0.003289473684210526,1,0.010526315789473684
attn,1,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,1,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,1,0.010526315789473684
attn,1,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6542763157894737,0.004605263157894736,1,0.010526315789473684
attn,2,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
attn,2,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,2,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
attn,3,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
attn,3,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
attn,3,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
attn,3,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6516447368421052,0.007236842105263158,1,0.010526315789473684
attn,3,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6536184210526316,0.005263157894736842,1,0.010526315789473684
attn,3,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6486842105263158,0.010197368421052632,1,0.010526315789473684
attn,4,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,4,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,1,0.010526315789473684
attn,4,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,1,0.010526315789473684
attn,4,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
