experiment,pair,source_model,receiver_model,scenario_id,source_version,target_version,site,layer,target_expected,original_yes_logit,original_no_logit,original_margin,original_decision,patched_yes_logit,patched_no_logit,patched_margin,patched_decision,effect,destructive_effect,rescue_effect,flipped,destroyed_no,rescued_yes,patched_is_yes,patched_is_no
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,0,No,36.0625,36.875,-0.8125,No,36.0625,36.84375,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,1,No,36.0625,36.875,-0.8125,No,36.0625,36.875,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,2,No,36.0625,36.875,-0.8125,No,36.0625,36.875,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,3,No,36.0625,36.875,-0.8125,No,36.03125,36.84375,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,4,No,36.0625,36.875,-0.8125,No,36.03125,36.875,-0.84375,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,5,No,36.0625,36.875,-0.8125,No,36.03125,36.875,-0.84375,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,6,No,36.0625,36.875,-0.8125,No,36.03125,36.84375,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,7,No,36.0625,36.875,-0.8125,No,36.0,36.84375,-0.84375,No,-0.03125,-0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,8,No,36.0625,36.875,-0.8125,No,36.0,36.78125,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,9,No,36.0625,36.875,-0.8125,No,35.90625,36.71875,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,10,No,36.0625,36.875,-0.8125,No,35.875,36.65625,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,11,No,36.0625,36.875,-0.8125,No,35.84375,36.625,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,12,No,36.0625,36.875,-0.8125,No,35.875,36.65625,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,13,No,36.0625,36.875,-0.8125,No,35.84375,36.625,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,14,No,36.0625,36.875,-0.8125,No,35.8125,36.625,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,15,No,36.0625,36.875,-0.8125,No,35.8125,36.59375,-0.78125,No,0.03125,0.03125,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,16,No,36.0625,36.875,-0.8125,No,35.75,36.5625,-0.8125,No,0.0,0.0,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,17,No,36.0625,36.875,-0.8125,No,35.84375,36.59375,-0.75,No,0.0625,0.0625,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,18,No,36.0625,36.875,-0.8125,No,36.65625,36.4375,0.21875,Yes,1.03125,1.03125,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,19,No,36.0625,36.875,-0.8125,No,36.8125,36.1875,0.625,Yes,1.4375,1.4375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,20,No,36.0625,36.875,-0.8125,No,36.53125,36.0,0.53125,Yes,1.34375,1.34375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,21,No,36.0625,36.875,-0.8125,No,36.53125,35.96875,0.5625,Yes,1.375,1.375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,22,No,36.0625,36.875,-0.8125,No,36.5625,36.0,0.5625,Yes,1.375,1.375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,23,No,36.0625,36.875,-0.8125,No,36.53125,35.96875,0.5625,Yes,1.375,1.375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,24,No,36.0625,36.875,-0.8125,No,36.53125,35.9375,0.59375,Yes,1.40625,1.40625,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,25,No,36.0625,36.875,-0.8125,No,36.5625,35.9375,0.625,Yes,1.4375,1.4375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,26,No,36.0625,36.875,-0.8125,No,36.5625,35.9375,0.625,Yes,1.4375,1.4375,,True,True,False,True,False
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100034,D,D,final,27,No,36.0625,36.875,-0.8125,No,32.5625,33.96875,-1.40625,No,-0.59375,-0.59375,,False,False,False,False,True
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,base,ci,100035,D,D,final,0,No,37.1875,37.28125,-0.09375,No,37.1875,37.3125,-0.125,No,-0.03125,-0.03125,,False,False,False,False,True
