pair,donor_model,receiver_model,donor,receiver,scenario_id,experiment,direction,source_version,target_version,site,layer,n_positions_patched,source_expected,target_expected,expected_direction,original_yes_logit,original_no_logit,original_margin,original_decision,patched_yes_logit,patched_no_logit,patched_margin,patched_decision,effect,aligned_effect,flipped,patched_matches_source_answer,patched_matches_target_answer
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,0,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.84375,0.5625,Yes,0.0,0.0,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,1,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.84375,0.5625,Yes,0.0,0.0,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,2,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.84375,0.5625,Yes,0.0,0.0,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,3,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.375,35.84375,0.53125,Yes,-0.03125,-0.03125,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,4,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.4375,35.84375,0.59375,Yes,0.03125,0.03125,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,5,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.8125,0.59375,Yes,0.03125,0.03125,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,6,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.4375,35.84375,0.59375,Yes,0.03125,0.03125,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,7,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.84375,0.5625,Yes,0.0,0.0,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,8,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.40625,35.84375,0.5625,Yes,0.0,0.0,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,9,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.5625,35.9375,0.625,Yes,0.0625,0.0625,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,10,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.5625,35.96875,0.59375,Yes,0.03125,0.03125,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,11,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.59375,35.96875,0.625,Yes,0.0625,0.0625,False,True,False
ci_to_base,huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen/Qwen2.5-7B-Instruct,ci,base,100034,final_AD,A_to_D,A,D,final,12,1,Yes,No,1,36.40625,35.84375,0.5625,Yes,36.59375,35.9375,0.65625,Yes,0.09375,0.09375,False,True,False
