layer,n_test,alpha,real_delta_toward_yes_mean,real_no_to_yes_flips,real_no_to_yes_flip_rate,real_normal_margin_mean,real_ablated_margin_mean,random_delta_toward_yes_mean,random_no_to_yes_flip_rate_mean
0,95,1.0,0.0029605263157894738,0,0.0,-0.6588815789473684,-0.655921052631579,0.0031798245614035087,0.010526315789473684
1,95,1.0,0.002302631578947368,1,0.010526315789473684,-0.6588815789473684,-0.656578947368421,0.0007675438596491228,0.010526315789473684
2,95,1.0,0.003947368421052632,1,0.010526315789473684,-0.6588815789473684,-0.6549342105263158,0.001206140350877193,0.007017543859649123
3,95,1.0,0.005263157894736842,1,0.010526315789473684,-0.6588815789473684,-0.6536184210526316,0.0030701754385964912,0.007017543859649123
4,95,1.0,0.002302631578947368,0,0.0,-0.6588815789473684,-0.656578947368421,0.0021929824561403508,0.010526315789473684
5,95,1.0,0.009539473684210526,1,0.010526315789473684,-0.6588815789473684,-0.6493421052631579,0.0014254385964912282,0.007017543859649123
6,95,1.0,0.006907894736842105,1,0.010526315789473684,-0.6588815789473684,-0.6519736842105263,0.003399122807017544,0.010526315789473684
7,95,1.0,0.014144736842105264,2,0.021052631578947368,-0.6588815789473684,-0.6447368421052632,0.0030701754385964912,0.010526315789473684
8,95,1.0,0.01118421052631579,2,0.021052631578947368,-0.6588815789473684,-0.6476973684210526,0.002302631578947368,0.010526315789473684
9,95,1.0,0.020723684210526314,1,0.010526315789473684,-0.6588815789473684,-0.6381578947368421,0.0027412280701754384,0.010526315789473684
10,95,1.0,0.029276315789473685,3,0.031578947368421054,-0.6588815789473684,-0.6296052631578948,0.002302631578947368,0.007017543859649123
11,95,1.0,0.033223684210526315,2,0.021052631578947368,-0.6588815789473684,-0.6256578947368421,0.002631578947368421,0.010526315789473684
12,95,1.0,0.04473684210526316,3,0.031578947368421054,-0.6588815789473684,-0.6141447368421052,0.0025219298245614035,0.010526315789473684
13,95,1.0,0.057236842105263155,6,0.06315789473684211,-0.6588815789473684,-0.6016447368421053,0.0020833333333333333,0.010526315789473684
14,95,1.0,0.06644736842105263,5,0.05263157894736842,-0.6588815789473684,-0.5924342105263158,0.002302631578947368,0.007017543859649123
15,95,1.0,0.1069078947368421,8,0.08421052631578947,-0.6588815789473684,-0.5519736842105263,0.003837719298245614,0.007017543859649123
16,95,1.0,0.15263157894736842,12,0.12631578947368421,-0.6588815789473684,-0.50625,0.0020833333333333333,0.010526315789473684
17,95,1.0,0.2832236842105263,19,0.2,-0.6588815789473684,-0.3756578947368421,0.003399122807017544,0.010526315789473684
18,95,1.0,3.207894736842105,95,1.0,-0.6588815789473684,2.549013157894737,0.007346491228070176,0.014035087719298246
19,95,1.0,4.22796052631579,95,1.0,-0.6588815789473684,3.5690789473684212,0.0015350877192982456,0.007017543859649123
20,95,1.0,5.240131578947368,95,1.0,-0.6588815789473684,4.58125,0.010526315789473684,0.010526315789473684
21,95,1.0,5.022697368421053,95,1.0,-0.6588815789473684,4.363815789473684,0.008881578947368421,0.014035087719298246
22,95,1.0,5.363486842105263,95,1.0,-0.6588815789473684,4.7046052631578945,0.005592105263157895,0.010526315789473684
23,95,1.0,5.357565789473684,95,1.0,-0.6588815789473684,4.698684210526316,0.0030701754385964912,0.010526315789473684
24,95,1.0,5.595065789473685,95,1.0,-0.6588815789473684,4.936184210526315,0.0010964912280701754,0.010526315789473684
25,95,1.0,6.073355263157895,95,1.0,-0.6588815789473684,5.4144736842105265,0.007565789473684211,0.010526315789473684
26,95,1.0,6.244407894736842,95,1.0,-0.6588815789473684,5.5855263157894735,0.004605263157894736,0.007017543859649123
