selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_ci_top_delta_steer,multi,5,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-20.869490131578946,21.634621710526314,21.6953125,95,1.0,95,1.0,1.0,2,5
global_multilayer_ci_top_delta_steer,multi,10,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-17.500082236842104,18.265213815789473,18.3203125,95,1.0,95,1.0,1.0,4,10
global_multilayer_ci_top_delta_steer,multi,50,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-12.937993421052632,13.703125,13.83203125,95,1.0,95,1.0,1.0,5,50
layerwise_ci_top_delta_steer,23,500,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.974342105263158,12.739473684210527,12.671875,95,1.0,95,1.0,1.0,1,500
layerwise_ci_top_delta_steer,23,200,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.629769736842105,12.394901315789474,12.3125,95,1.0,95,1.0,1.0,1,200
layerwise_ci_top_delta_steer,23,20,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.478125,12.243256578947369,12.1875,95,1.0,95,1.0,1.0,1,20
layerwise_ci_top_delta_steer,23,50,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.477138157894737,12.242269736842106,12.171875,95,1.0,95,1.0,1.0,1,50
layerwise_ci_top_delta_steer,23,10,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.431907894736842,12.19703947368421,12.109375,95,1.0,95,1.0,1.0,1,10
global_multilayer_ci_top_delta_steer,multi,5,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.373026315789474,12.138157894736842,12.0625,95,1.0,95,1.0,1.0,2,5
global_multilayer_ci_top_delta_steer,multi,20,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.269325657894736,12.034457236842105,12.0703125,95,1.0,95,1.0,1.0,5,20
layerwise_ci_top_delta_steer,23,5,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-11.04967105263158,11.814802631578948,11.734375,95,1.0,95,1.0,1.0,1,5
global_multilayer_ci_top_delta_steer,multi,100,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-10.682606907894737,11.447738486842105,11.49609375,95,1.0,95,1.0,1.0,5,100
layerwise_ci_top_delta_steer,23,100,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-10.516940789473685,11.282072368421053,11.15625,95,1.0,95,1.0,1.0,1,100
global_multilayer_ci_top_delta_steer,multi,10,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-9.157401315789473,9.922532894736841,9.796875,95,1.0,95,1.0,1.0,4,10
global_multilayer_ci_top_delta_steer,multi,50,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-8.848684210526315,9.613815789473684,9.484375,95,1.0,95,1.0,1.0,5,50
global_multilayer_ci_top_delta_steer,multi,100,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,-8.387253289473684,9.152384868421052,9.203125,95,1.0,95,1.0,1.0,5,100
