selection_name,layer,k,alpha,scenario_id,control_type,selection_source,delta_source,intervention,normal_margin,patched_margin,delta_toward_no,normal_decision,patched_decision,yes_to_no_flip,patched_no,normal_yes_logit,normal_no_logit,patched_yes_logit,patched_no_logit,num_layers_patched,num_neurons_patched
layerwise_top_delta_steer,20,50,0.25,100034,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.09375,0.65625,Yes,No,True,True,36.40625,35.84375,35.65625,35.75,1,50
layerwise_top_delta_steer,20,50,0.25,100185,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.21875,0.75,Yes,No,True,True,33.8125,33.28125,33.09375,33.3125,1,50
layerwise_top_delta_steer,20,50,0.25,100206,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.21875,0.71875,Yes,No,True,True,35.3125,34.8125,34.53125,34.75,1,50
layerwise_top_delta_steer,20,50,0.25,100394,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.1875,0.5,0.6875,Yes,Yes,False,False,36.5625,35.375,35.75,35.25,1,50
layerwise_top_delta_steer,20,50,0.25,100459,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.53125,-0.25,0.78125,Yes,No,True,True,36.65625,36.125,35.84375,36.09375,1,50
layerwise_top_delta_steer,20,50,0.25,100505,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.25,0.75,Yes,No,True,True,35.5625,35.0625,34.78125,35.03125,1,50
layerwise_top_delta_steer,20,50,0.25,100747,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.15625,-0.46875,0.625,Yes,No,True,True,35.375,35.21875,34.625,35.09375,1,50
layerwise_top_delta_steer,20,50,0.25,100791,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.375,-0.4375,0.8125,Yes,No,True,True,33.75,33.375,32.96875,33.40625,1,50
layerwise_top_delta_steer,20,50,0.25,100798,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.96875,0.15625,0.8125,Yes,Yes,False,False,35.9375,34.96875,35.15625,35.0,1,50
layerwise_top_delta_steer,20,50,0.25,100850,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.4375,-0.3125,0.75,Yes,No,True,True,35.71875,35.28125,34.90625,35.21875,1,50
layerwise_top_delta_steer,20,50,0.25,100919,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.46875,0.65625,0.8125,Yes,Yes,False,False,35.46875,34.0,34.71875,34.0625,1,50
layerwise_top_delta_steer,20,50,0.25,100921,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.46875,-0.25,0.71875,Yes,No,True,True,36.28125,35.8125,35.46875,35.71875,1,50
layerwise_top_delta_steer,20,50,0.25,100927,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.21875,-0.46875,0.6875,Yes,No,True,True,34.75,34.53125,34.03125,34.5,1,50
layerwise_top_delta_steer,20,50,0.25,100962,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.8125,0.0625,0.75,Yes,Yes,False,False,35.25,34.4375,34.5,34.4375,1,50
layerwise_top_delta_steer,20,50,0.25,101109,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.59375,-0.15625,0.75,Yes,No,True,True,36.59375,36.0,35.71875,35.875,1,50
layerwise_top_delta_steer,20,50,0.25,101157,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.65625,-0.09375,0.75,Yes,No,True,True,35.40625,34.75,34.625,34.71875,1,50
layerwise_top_delta_steer,20,50,0.25,101397,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5625,-0.15625,0.71875,Yes,No,True,True,35.125,34.5625,34.375,34.53125,1,50
layerwise_top_delta_steer,20,50,0.25,101521,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.5,-0.25,0.75,Yes,No,True,True,35.625,35.125,34.8125,35.0625,1,50
layerwise_top_delta_steer,20,50,0.25,101559,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.6875,-0.03125,0.71875,Yes,No,True,True,33.78125,33.09375,33.0,33.03125,1,50
layerwise_top_delta_steer,20,50,0.25,101582,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,0.1875,-0.59375,0.78125,Yes,No,True,True,35.71875,35.53125,34.90625,35.5,1,50
layerwise_top_delta_steer,20,50,0.25,101660,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,1.3125,0.21875,1.09375,Yes,Yes,False,False,37.0,35.6875,36.09375,35.875,1,50
