selection_name,layer,k,alpha,delta_source,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
global_multilayer_top_delta_steer,multi,50,0.25,base,add_source_D_minus_A_neuron_delta_to_base,0.002192982456140351,0.0,0.0
global_multilayer_top_delta_steer,multi,50,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.002083333333333333,0.0,0.0
global_multilayer_top_delta_steer,multi,50,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.005263157894736842,0.0,0.0
global_multilayer_top_delta_steer,multi,50,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.00043859649122807094,0.0,0.0
global_multilayer_top_delta_steer,multi,50,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.016885964912280702,0.0,0.0
global_multilayer_top_delta_steer,multi,50,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0015350877192982458,0.007017543859649123,0.007017543859649123
global_multilayer_top_delta_steer,multi,100,0.25,base,add_source_D_minus_A_neuron_delta_to_base,0.0005482456140350878,0.0,0.0
global_multilayer_top_delta_steer,multi,100,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.0031798245614035087,0.0,0.0
global_multilayer_top_delta_steer,multi,100,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.0002192982456140352,0.0,0.0
global_multilayer_top_delta_steer,multi,100,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.012500000000000002,0.0,0.0
global_multilayer_top_delta_steer,multi,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.004166666666666667,0.0,0.0
global_multilayer_top_delta_steer,multi,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.02817982456140351,0.007017543859649123,0.007017543859649123
global_multilayer_top_delta_steer,multi,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.010964912280701756,0.0,0.0
global_multilayer_top_delta_steer,multi,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.004714912280701755,0.0,0.0
global_multilayer_top_delta_steer,multi,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.021052631578947368,0.0,0.0
global_multilayer_top_delta_steer,multi,200,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.013925438596491228,0.0035087719298245615,0.0035087719298245615
global_multilayer_top_delta_steer,multi,200,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.03947368421052632,0.0,0.0
global_multilayer_top_delta_steer,multi,200,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.031578947368421054,0.007017543859649123,0.007017543859649123
layerwise_top_delta_steer,20,50,0.25,base,add_source_D_minus_A_neuron_delta_to_base,0.004714912280701754,0.0,0.0
layerwise_top_delta_steer,20,50,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.002850877192982456,0.0,0.0
layerwise_top_delta_steer,20,50,0.5,base,add_source_D_minus_A_neuron_delta_to_base,0.011074561403508772,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,20,50,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,-0.0037280701754385964,0.0,0.0
layerwise_top_delta_steer,20,50,1.0,base,add_source_D_minus_A_neuron_delta_to_base,0.02489035087719298,0.007017543859649123,0.007017543859649123
layerwise_top_delta_steer,20,50,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,-0.004714912280701754,0.0,0.0
layerwise_top_delta_steer,20,100,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0038377192982456143,0.0,0.0
layerwise_top_delta_steer,20,100,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,0.012061403508771931,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,20,100,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.005701754385964912,0.0,0.0
layerwise_top_delta_steer,20,100,0.5,ci,add_source_D_minus_A_neuron_delta_to_base,0.02675438596491228,0.010526315789473684,0.010526315789473684
layerwise_top_delta_steer,20,100,1.0,base,add_source_D_minus_A_neuron_delta_to_base,-0.009210526315789475,0.0,0.0
layerwise_top_delta_steer,20,100,1.0,ci,add_source_D_minus_A_neuron_delta_to_base,0.05635964912280702,0.021052631578947368,0.021052631578947368
layerwise_top_delta_steer,20,200,0.25,base,add_source_D_minus_A_neuron_delta_to_base,-0.0044956140350877185,0.0035087719298245615,0.0035087719298245615
layerwise_top_delta_steer,20,200,0.25,ci,add_source_D_minus_A_neuron_delta_to_base,-0.011074561403508773,0.0,0.0
layerwise_top_delta_steer,20,200,0.5,base,add_source_D_minus_A_neuron_delta_to_base,-0.006140350877192981,0.010526315789473684,0.010526315789473684
