selection_name,layer,k,alpha,control_type,selection_source,delta_source,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_top_delta_steer,multi,100,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-4.569243421052631,5.334375,5.3125,95,1.0,95,1.0,1.0,5,100
global_multilayer_top_delta_steer,multi,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-4.464309210526316,5.229440789473684,5.203125,95,1.0,95,1.0,1.0,5,200
global_multilayer_top_delta_steer,multi,200,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-4.400986842105263,5.166118421052632,5.140625,95,1.0,95,1.0,1.0,5,200
global_multilayer_top_delta_steer,multi,50,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-4.162006578947368,4.927138157894737,4.890625,95,1.0,95,1.0,1.0,5,50
global_multilayer_top_delta_steer,multi,100,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-3.6546052631578947,4.419736842105263,4.40625,95,1.0,95,1.0,1.0,5,100
global_multilayer_top_delta_steer,multi,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.9069078947368423,3.6720394736842104,3.609375,95,1.0,95,1.0,1.0,5,200
global_multilayer_top_delta_steer,multi,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.688980263157895,3.454111842105263,3.421875,95,1.0,95,1.0,1.0,5,100
global_multilayer_top_delta_steer,multi,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.669407894736842,3.4345394736842105,3.375,95,1.0,95,1.0,1.0,5,200
global_multilayer_top_delta_steer,multi,50,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.6087171052631577,3.373848684210526,3.375,95,1.0,95,1.0,1.0,5,50
layerwise_top_delta_steer,20,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.241282894736842,3.0064144736842104,2.921875,95,1.0,95,1.0,1.0,1,200
global_multilayer_top_delta_steer,multi,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.204276315789474,2.9694078947368423,2.953125,95,1.0,95,1.0,1.0,5,50
layerwise_top_delta_steer,23,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.182565789473684,2.9476973684210526,2.9375,95,1.0,95,1.0,1.0,1,200
layerwise_top_delta_steer,22,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.126151315789474,2.8912828947368423,2.84375,95,1.0,95,1.0,1.0,1,200
global_multilayer_top_delta_steer,multi,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.061348684210526,2.8264802631578947,2.78125,95,1.0,95,1.0,1.0,5,100
layerwise_top_delta_steer,20,100,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-2.0592105263157894,2.824342105263158,2.75,95,1.0,95,1.0,1.0,1,100
layerwise_top_delta_steer,22,100,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.9047697368421053,2.6699013157894735,2.625,95,1.0,95,1.0,1.0,1,100
layerwise_top_delta_steer,22,50,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.819078947368421,2.5842105263157893,2.5625,95,1.0,95,1.0,1.0,1,50
layerwise_top_delta_steer,20,200,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-1.7930921052631579,2.5582236842105264,2.46875,95,1.0,95,1.0,1.0,1,200
