layer,neuron,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,abs_writer_score,rank_positive,rank_abs,D_minus_A_delta,score_source,selection_name,k,layer_label,control_type,selection_source,delta_source,random_control_id
20,2501,6.6038265,0.24909703,-6.3547297,-0.15384485,0.9776424,0.9776424,1,1,-6.3547294700000005,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,18321,0.84048814,4.9725327,4.132045,0.17508954,0.72347784,0.72347784,2,2,4.132044560000001,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,14278,1.7158601,5.5548315,3.8389714,0.1788742,0.6866929,0.6866929,3,3,3.8389713999999997,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,6099,3.4792867,1.1086882,-2.3705983,-0.22982584,0.5448247,0.5448247,4,4,-2.3705985,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,4696,1.3678297,-0.7607165,-2.1285462,-0.23855704,0.5077797,0.5077797,5,5,-2.1285461999999997,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,2599,2.6102898,-0.35526842,-2.9655583,-0.1426779,0.42311963,0.42311963,6,6,-2.9655582199999997,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,8518,-4.0123353,-1.5686935,2.4436417,0.14388625,0.35160643,0.35160643,7,7,2.4436418,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,6301,3.213708,0.09629163,-3.1174164,-0.11104533,0.34617454,0.34617454,8,8,-3.11741637,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,10931,-0.31685823,-1.989484,-1.6726258,-0.18668364,0.31225187,0.31225187,9,9,-1.67262577,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,2422,0.24213706,-1.1200787,-1.3622158,-0.21695043,0.2955333,0.2955333,10,10,-1.36221576,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,886,0.9359748,2.9657896,2.0298147,0.1332203,0.27041253,0.27041253,11,11,2.0298148,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
20,4791,0.85961145,-0.9920204,-1.8516319,-0.14559011,0.2695793,0.2695793,12,12,-1.85163185,ci,layerwise_top_delta_steer,50,20,ci_top_neurons,ci,ci,
