ci_rank,layer,neuron,ci_A_mean,ci_D_mean,ci_gap_D_minus_A,ci_downproj_dot,ci_writer_score,base_A_mean,base_D_mean,base_gap_D_minus_A,base_downproj_dot,base_writer_score,gap_change_base_minus_ci,score_change_base_minus_ci
1,22,13149,14.619264,-3.3378136,-17.957077,-0.46529004,8.355249,14.5471735,-0.74402785,-15.291202,-0.407331,6.2285805,2.6658750000000015,-2.126668500000001
2,23,7028,-31.522861,-14.449507,17.073355,0.26007468,4.440347,-30.058718,-15.167681,14.891037,0.24562304,3.6575818,-2.1823179999999986,-0.7827652
3,23,4894,4.459799,19.13865,14.678852,0.23013383,3.3781004,4.7809315,19.062336,14.2814045,0.24445899,3.4912176,-0.3974474999999984,0.11311720000000003
4,23,10710,-15.972121,-4.5362563,11.435865,0.27466145,3.1409914,-14.916448,-6.1727386,8.74371,0.23578635,2.0616474,-2.6921549999999996,-1.0793439999999999
5,23,4059,0.58761686,12.856415,12.268798,0.21297628,2.612963,0.59253955,10.116447,9.523908,0.17419866,1.6590519,-2.74489,-0.9539111000000002
6,26,10844,-27.482279,-7.0928044,20.389475,0.113944404,2.3232665,-25.867846,-6.228248,19.639597,0.120831385,2.3730798,-0.7498780000000025,0.04981330000000028
7,26,8328,-19.651728,-6.1414886,13.510239,0.16446964,2.2220242,-19.045477,-5.83676,13.208717,0.16964424,2.2407827,-0.3015220000000003,0.018758500000000122
8,26,1090,-27.625328,-8.027879,19.59745,0.10947408,2.1454127,-26.86324,-8.070683,18.792557,0.10884022,2.045386,-0.8048929999999999,-0.10002669999999991
9,27,4027,5.192882,23.549013,18.35613,0.1062394,1.9501443,5.643497,24.108223,18.464725,0.110594206,2.0420916,0.10859500000000111,0.09194729999999995
10,26,16013,8.183059,23.468256,15.285197,0.11561854,1.7672522,7.5488896,20.521545,12.972656,0.10486562,1.3603857,-2.3125409999999995,-0.4068665
