layer,k,scenario_id,control_type,ablation_mode,normal_margin,intervened_margin,delta_toward_yes,normal_decision,intervened_decision,no_to_yes_flip
22,1,100034,top_writer_neurons,mean,-0.8125,1.21875,2.03125,No,Yes,True
22,1,100086,top_writer_neurons,mean,0.0,2.5,2.5,No,Yes,True
22,1,100185,top_writer_neurons,mean,-0.65625,2.1875,2.84375,No,Yes,True
22,1,100230,top_writer_neurons,mean,-1.34375,0.6875,2.03125,No,Yes,True
22,1,100266,top_writer_neurons,mean,-0.03125,2.71875,2.75,No,Yes,True
22,1,100279,top_writer_neurons,mean,-1.0625,1.25,2.3125,No,Yes,True
22,1,100394,top_writer_neurons,mean,-0.0625,1.875,1.9375,No,Yes,True
22,1,100505,top_writer_neurons,mean,-0.78125,2.0,2.78125,No,Yes,True
22,1,100619,top_writer_neurons,mean,-0.25,2.21875,2.46875,No,Yes,True
22,1,100791,top_writer_neurons,mean,-0.59375,2.03125,2.625,No,Yes,True
22,1,100850,top_writer_neurons,mean,-0.34375,2.3125,2.65625,No,Yes,True
22,1,100909,top_writer_neurons,mean,-0.8125,2.28125,3.09375,No,Yes,True
22,1,100921,top_writer_neurons,mean,-0.78125,1.6875,2.46875,No,Yes,True
22,1,100927,top_writer_neurons,mean,-0.40625,2.0,2.40625,No,Yes,True
22,1,100962,top_writer_neurons,mean,-0.25,2.4375,2.6875,No,Yes,True
22,1,101157,top_writer_neurons,mean,-0.84375,2.28125,3.125,No,Yes,True
22,1,101269,top_writer_neurons,mean,-0.21875,2.40625,2.625,No,Yes,True
22,1,101502,top_writer_neurons,mean,-1.28125,0.9375,2.21875,No,Yes,True
22,1,101600,top_writer_neurons,mean,-0.1875,2.28125,2.46875,No,Yes,True
22,1,101839,top_writer_neurons,mean,0.03125,2.875,2.84375,Yes,Yes,False
22,1,101975,top_writer_neurons,mean,-0.40625,2.03125,2.4375,No,Yes,True
22,1,101979,top_writer_neurons,mean,-0.0625,2.875,2.9375,No,Yes,True
22,1,102046,top_writer_neurons,mean,-1.1875,1.25,2.4375,No,Yes,True
22,1,102092,top_writer_neurons,mean,-1.75,1.25,3.0,No,Yes,True
22,1,102132,top_writer_neurons,mean,-0.6875,2.375,3.0625,No,Yes,True
22,1,102183,top_writer_neurons,mean,-0.59375,1.9375,2.53125,No,Yes,True
22,1,102187,top_writer_neurons,mean,-0.03125,3.0625,3.09375,No,Yes,True
22,1,102215,top_writer_neurons,mean,-1.34375,2.5625,3.90625,No,Yes,True
22,1,102232,top_writer_neurons,mean,-0.90625,2.375,3.28125,No,Yes,True
22,1,102242,top_writer_neurons,mean,-2.15625,1.4375,3.59375,No,Yes,True
22,1,102285,top_writer_neurons,mean,-1.15625,2.375,3.53125,No,Yes,True
22,1,102360,top_writer_neurons,mean,0.0,2.90625,2.90625,No,Yes,True
22,1,102393,top_writer_neurons,mean,-0.75,2.0,2.75,No,Yes,True
22,1,102441,top_writer_neurons,mean,-0.71875,2.0,2.71875,No,Yes,True
22,1,102559,top_writer_neurons,mean,-0.3125,2.4375,2.75,No,Yes,True
22,1,102596,top_writer_neurons,mean,-0.40625,2.125,2.53125,No,Yes,True
22,1,102646,top_writer_neurons,mean,-0.34375,2.34375,2.6875,No,Yes,True
22,1,102648,top_writer_neurons,mean,-0.03125,2.71875,2.75,No,Yes,True
22,1,102704,top_writer_neurons,mean,-0.65625,1.875,2.53125,No,Yes,True
22,1,102782,top_writer_neurons,mean,-0.09375,2.4375,2.53125,No,Yes,True
22,1,102946,top_writer_neurons,mean,-1.125,1.6875,2.8125,No,Yes,True
22,1,102969,top_writer_neurons,mean,-0.40625,2.09375,2.5,No,Yes,True
22,1,102993,top_writer_neurons,mean,-1.5625,1.125,2.6875,No,Yes,True
22,1,103074,top_writer_neurons,mean,-0.125,2.84375,2.96875,No,Yes,True
22,1,103108,top_writer_neurons,mean,-0.4375,2.0625,2.5,No,Yes,True
22,1,103124,top_writer_neurons,mean,-0.90625,1.8125,2.71875,No,Yes,True
22,1,103167,top_writer_neurons,mean,-0.78125,2.3125,3.09375,No,Yes,True
22,1,103188,top_writer_neurons,mean,-2.875,0.0,2.875,No,No,False
22,1,103200,top_writer_neurons,mean,-0.34375,2.5,2.84375,No,Yes,True
22,1,103208,top_writer_neurons,mean,-0.3125,2.34375,2.65625,No,Yes,True
