layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
20,1,random_neurons_0,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,0,0.0
20,1,random_neurons_1,95,-0.6588815789473684,-0.6631578947368421,-0.0042763157894736845,1,0.010526315789473684
20,1,random_neurons_2,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
20,1,top_writer_neurons,95,-0.6588815789473684,-0.65,0.008881578947368421,1,0.010526315789473684
20,5,random_neurons_0,95,-0.6588815789473684,-0.6460526315789473,0.012828947368421053,1,0.010526315789473684
20,5,random_neurons_1,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
20,5,random_neurons_2,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
20,5,top_writer_neurons,95,-0.6588815789473684,-0.23980263157894738,0.41907894736842105,34,0.35789473684210527
20,10,random_neurons_0,95,-0.6588815789473684,-0.6641447368421053,-0.005263157894736842,1,0.010526315789473684
20,10,random_neurons_1,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,5,0.05263157894736842
20,10,random_neurons_2,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
20,10,top_writer_neurons,95,-0.6588815789473684,0.1611842105263158,0.8200657894736842,68,0.7157894736842105
20,20,random_neurons_0,95,-0.6588815789473684,-0.6891447368421053,-0.030263157894736843,0,0.0
20,20,random_neurons_1,95,-0.6588815789473684,-0.6355263157894737,0.023355263157894737,1,0.010526315789473684
20,20,random_neurons_2,95,-0.6588815789473684,-0.6618421052631579,-0.0029605263157894738,1,0.010526315789473684
20,20,top_writer_neurons,95,-0.6588815789473684,0.3203947368421053,0.9792763157894737,77,0.8105263157894737
20,50,random_neurons_0,95,-0.6588815789473684,-0.6503289473684211,0.008552631578947369,1,0.010526315789473684
20,50,random_neurons_1,95,-0.6588815789473684,-0.662828947368421,-0.003947368421052632,0,0.0
20,50,random_neurons_2,95,-0.6588815789473684,-0.6470394736842106,0.011842105263157895,2,0.021052631578947368
20,50,top_writer_neurons,95,-0.6588815789473684,0.69375,1.3526315789473684,85,0.8947368421052632
22,1,random_neurons_0,95,-0.6588815789473684,-0.6608552631578948,-0.001973684210526316,1,0.010526315789473684
22,1,random_neurons_1,95,-0.6588815789473684,-0.6542763157894737,0.004605263157894736,1,0.010526315789473684
22,1,random_neurons_2,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
22,1,top_writer_neurons,95,-0.6588815789473684,-0.20986842105263157,0.44901315789473684,35,0.3684210526315789
22,5,random_neurons_0,95,-0.6588815789473684,-0.6526315789473685,0.00625,1,0.010526315789473684
22,5,random_neurons_1,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
22,5,random_neurons_2,95,-0.6588815789473684,-0.6503289473684211,0.008552631578947369,1,0.010526315789473684
22,5,top_writer_neurons,95,-0.6588815789473684,-0.46348684210526314,0.19539473684210526,4,0.042105263157894736
22,10,random_neurons_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
22,10,random_neurons_1,95,-0.6588815789473684,-0.6536184210526316,0.005263157894736842,1,0.010526315789473684
