layer,k,alpha,scenario_id,control_type,intervention,normal_margin,intervened_margin,delta_toward_no,normal_decision,intervened_decision,yes_to_no_flip
20,50,3.0,100034,top_writer_neurons,add_delta,8.21875,-1.53125,9.75,Yes,No,True
20,50,3.0,100086,top_writer_neurons,add_delta,17.515625,-0.9375,18.453125,Yes,No,True
20,50,3.0,100185,top_writer_neurons,add_delta,17.578125,-0.96875,18.546875,Yes,No,True
20,50,3.0,100230,top_writer_neurons,add_delta,11.71875,-1.4375,13.15625,Yes,No,True
20,50,3.0,100266,top_writer_neurons,add_delta,0.34375,-3.59375,3.9375,Yes,No,True
20,50,3.0,100279,top_writer_neurons,add_delta,14.421875,-1.375,15.796875,Yes,No,True
20,50,3.0,100394,top_writer_neurons,add_delta,8.21875,-1.53125,9.75,Yes,No,True
20,50,3.0,100505,top_writer_neurons,add_delta,14.0625,-1.15625,15.21875,Yes,No,True
20,50,3.0,100619,top_writer_neurons,add_delta,6.5625,-2.4375,9.0,Yes,No,True
20,50,3.0,100791,top_writer_neurons,add_delta,6.5625,-2.4375,9.0,Yes,No,True
20,50,3.0,100850,top_writer_neurons,add_delta,5.3125,-2.625,7.9375,Yes,No,True
20,50,3.0,100909,top_writer_neurons,add_delta,14.375,-1.3125,15.6875,Yes,No,True
20,50,3.0,100921,top_writer_neurons,add_delta,14.515625,-0.9375,15.453125,Yes,No,True
20,50,3.0,100927,top_writer_neurons,add_delta,11.71875,-1.5,13.21875,Yes,No,True
20,50,3.0,100962,top_writer_neurons,add_delta,9.9375,-1.53125,11.46875,Yes,No,True
20,50,3.0,101157,top_writer_neurons,add_delta,16.21875,-0.875,17.09375,Yes,No,True
20,50,3.0,101269,top_writer_neurons,add_delta,13.34375,-1.3125,14.65625,Yes,No,True
20,50,3.0,101502,top_writer_neurons,add_delta,14.515625,-0.9375,15.453125,Yes,No,True
20,50,3.0,101600,top_writer_neurons,add_delta,12.015625,-1.3125,13.328125,Yes,No,True
20,50,3.0,101839,top_writer_neurons,add_delta,12.96875,-1.1875,14.15625,Yes,No,True
20,50,3.0,101975,top_writer_neurons,add_delta,13.09375,-0.9375,14.03125,Yes,No,True
20,50,3.0,101979,top_writer_neurons,add_delta,12.21875,-1.25,13.46875,Yes,No,True
20,50,3.0,102046,top_writer_neurons,add_delta,15.734375,-0.78125,16.515625,Yes,No,True
20,50,3.0,102092,top_writer_neurons,add_delta,13.53125,-1.0625,14.59375,Yes,No,True
20,50,3.0,102132,top_writer_neurons,add_delta,15.28125,-0.46875,15.75,Yes,No,True
20,50,3.0,102183,top_writer_neurons,add_delta,11.21875,-1.375,12.59375,Yes,No,True
20,50,3.0,102187,top_writer_neurons,add_delta,8.03125,-2.1875,10.21875,Yes,No,True
20,50,3.0,102215,top_writer_neurons,add_delta,13.53125,-1.0625,14.59375,Yes,No,True
20,50,3.0,102232,top_writer_neurons,add_delta,7.71875,-2.25,9.96875,Yes,No,True
20,50,3.0,102242,top_writer_neurons,add_delta,12.90625,-1.25,14.15625,Yes,No,True
20,50,3.0,102285,top_writer_neurons,add_delta,15.171875,-0.75,15.921875,Yes,No,True
20,50,3.0,102360,top_writer_neurons,add_delta,15.28125,-0.46875,15.75,Yes,No,True
20,50,3.0,102393,top_writer_neurons,add_delta,16.34375,-0.46875,16.8125,Yes,No,True
20,50,3.0,102441,top_writer_neurons,add_delta,16.34375,-0.46875,16.8125,Yes,No,True
20,50,3.0,102559,top_writer_neurons,add_delta,20.3125,-0.28125,20.59375,Yes,No,True
20,50,3.0,102596,top_writer_neurons,add_delta,19.890625,-0.59375,20.484375,Yes,No,True
20,50,3.0,102646,top_writer_neurons,add_delta,20.3125,-0.28125,20.59375,Yes,No,True
20,50,3.0,102648,top_writer_neurons,add_delta,17.65625,-0.96875,18.625,Yes,No,True
20,50,3.0,102704,top_writer_neurons,add_delta,19.234375,-0.875,20.109375,Yes,No,True
20,50,3.0,102782,top_writer_neurons,add_delta,13.34375,-1.15625,14.5,Yes,No,True
20,50,3.0,102946,top_writer_neurons,add_delta,16.71875,-0.5625,17.28125,Yes,No,True
20,50,3.0,102969,top_writer_neurons,add_delta,16.203125,-0.875,17.078125,Yes,No,True
20,50,3.0,102993,top_writer_neurons,add_delta,17.296875,-0.375,17.671875,Yes,No,True
20,50,3.0,103074,top_writer_neurons,add_delta,19.0625,-0.40625,19.46875,Yes,No,True
20,50,3.0,103108,top_writer_neurons,add_delta,14.109375,-1.03125,15.140625,Yes,No,True
20,50,3.0,103124,top_writer_neurons,add_delta,16.640625,-0.90625,17.546875,Yes,No,True
20,50,3.0,103167,top_writer_neurons,add_delta,16.84375,-0.75,17.59375,Yes,No,True
20,50,3.0,103188,top_writer_neurons,add_delta,10.625,-1.625,12.25,Yes,No,True
20,50,3.0,103200,top_writer_neurons,add_delta,16.71875,-0.5625,17.28125,Yes,No,True
20,50,3.0,103208,top_writer_neurons,add_delta,17.78125,-0.65625,18.4375,Yes,No,True
20,50,3.0,103256,top_writer_neurons,add_delta,17.015625,-0.78125,17.796875,Yes,No,True
20,50,3.0,103259,top_writer_neurons,add_delta,17.203125,-1.15625,18.359375,Yes,No,True
20,50,3.0,103354,top_writer_neurons,add_delta,14.109375,-1.03125,15.140625,Yes,No,True
20,50,3.0,103460,top_writer_neurons,add_delta,20.65625,-0.46875,21.125,Yes,No,True
20,50,3.0,103490,top_writer_neurons,add_delta,16.953125,-0.9375,17.890625,Yes,No,True
20,50,3.0,103566,top_writer_neurons,add_delta,13.828125,-1.0,14.828125,Yes,No,True
20,50,3.0,103628,top_writer_neurons,add_delta,16.640625,-0.90625,17.546875,Yes,No,True
20,50,3.0,103672,top_writer_neurons,add_delta,17.59375,-1.28125,18.875,Yes,No,True
20,50,3.0,103679,top_writer_neurons,add_delta,17.171875,-0.65625,17.828125,Yes,No,True
20,50,3.0,103689,top_writer_neurons,add_delta,16.953125,-0.9375,17.890625,Yes,No,True
20,50,3.0,103766,top_writer_neurons,add_delta,20.5625,-0.40625,20.96875,Yes,No,True
20,50,3.0,103847,top_writer_neurons,add_delta,11.734375,-1.40625,13.140625,Yes,No,True
20,50,3.0,103920,top_writer_neurons,add_delta,17.65625,-0.96875,18.625,Yes,No,True
20,50,3.0,103998,top_writer_neurons,add_delta,13.984375,-1.5,15.484375,Yes,No,True
20,50,3.0,104000,top_writer_neurons,add_delta,17.59375,-1.28125,18.875,Yes,No,True
20,50,3.0,104043,top_writer_neurons,add_delta,19.96875,-0.4375,20.40625,Yes,No,True
20,50,3.0,104083,top_writer_neurons,add_delta,14.109375,-1.03125,15.140625,Yes,No,True
20,50,3.0,104315,top_writer_neurons,add_delta,9.78125,-1.3125,11.09375,Yes,No,True
20,50,3.0,104463,top_writer_neurons,add_delta,15.265625,-0.6875,15.953125,Yes,No,True
20,50,3.0,104537,top_writer_neurons,add_delta,16.46875,-0.5,16.96875,Yes,No,True
20,50,3.0,104539,top_writer_neurons,add_delta,15.265625,-0.6875,15.953125,Yes,No,True
20,50,3.0,104645,top_writer_neurons,add_delta,11.28125,-1.125,12.40625,Yes,No,True
20,50,3.0,104689,top_writer_neurons,add_delta,3.4375,-2.75,6.1875,Yes,No,True
20,50,3.0,104702,top_writer_neurons,add_delta,8.65625,-1.9375,10.59375,Yes,No,True
20,50,3.0,105079,top_writer_neurons,add_delta,8.65625,-1.9375,10.59375,Yes,No,True
20,50,3.0,105098,top_writer_neurons,add_delta,14.390625,-0.8125,15.203125,Yes,No,True
20,50,3.0,105160,top_writer_neurons,add_delta,11.25,-1.0625,12.3125,Yes,No,True
20,50,3.0,105272,top_writer_neurons,add_delta,14.484375,-0.875,15.359375,Yes,No,True
20,50,3.0,105315,top_writer_neurons,add_delta,13.015625,-0.84375,13.859375,Yes,No,True
20,50,3.0,105478,top_writer_neurons,add_delta,10.03125,-1.875,11.90625,Yes,No,True
20,50,3.0,105621,top_writer_neurons,add_delta,14.671875,-1.21875,15.890625,Yes,No,True
20,50,3.0,105659,top_writer_neurons,add_delta,12.671875,-1.375,14.046875,Yes,No,True
20,50,3.0,105674,top_writer_neurons,add_delta,17.421875,-0.8125,18.234375,Yes,No,True
20,50,3.0,105724,top_writer_neurons,add_delta,10.15625,-1.6875,11.84375,Yes,No,True
20,50,3.0,105789,top_writer_neurons,add_delta,8.0,-1.9375,9.9375,Yes,No,True
20,50,3.0,105953,top_writer_neurons,add_delta,9.46875,-1.8125,11.28125,Yes,No,True
20,50,3.0,106091,top_writer_neurons,add_delta,10.15625,-1.6875,11.84375,Yes,No,True
20,50,3.0,106145,top_writer_neurons,add_delta,11.671875,-1.5,13.171875,Yes,No,True
20,50,3.0,106165,top_writer_neurons,add_delta,10.75,-1.71875,12.46875,Yes,No,True
20,50,3.0,106219,top_writer_neurons,add_delta,7.5,-1.84375,9.34375,Yes,No,True
20,50,3.0,106317,top_writer_neurons,add_delta,12.125,-1.5625,13.6875,Yes,No,True
20,50,3.0,106566,top_writer_neurons,add_delta,7.4375,-2.0625,9.5,Yes,No,True
20,50,3.0,106702,top_writer_neurons,add_delta,12.90625,-1.375,14.28125,Yes,No,True
20,50,3.0,106703,top_writer_neurons,add_delta,12.125,-1.5625,13.6875,Yes,No,True
20,50,3.0,107067,top_writer_neurons,add_delta,10.34375,-1.46875,11.8125,Yes,No,True
20,50,3.0,100034,random_neurons_0,add_delta,8.21875,8.1875,0.03125,Yes,Yes,False
20,50,3.0,100086,random_neurons_0,add_delta,17.515625,17.484375,0.03125,Yes,Yes,False
20,50,3.0,100185,random_neurons_0,add_delta,17.578125,17.53125,0.046875,Yes,Yes,False
20,50,3.0,100230,random_neurons_0,add_delta,11.71875,11.65625,0.0625,Yes,Yes,False
20,50,3.0,100266,random_neurons_0,add_delta,0.34375,0.34375,0.0,Yes,Yes,False
20,50,3.0,100279,random_neurons_0,add_delta,14.421875,14.390625,0.03125,Yes,Yes,False
20,50,3.0,100394,random_neurons_0,add_delta,8.21875,8.1875,0.03125,Yes,Yes,False
20,50,3.0,100505,random_neurons_0,add_delta,14.0625,14.0,0.0625,Yes,Yes,False
20,50,3.0,100619,random_neurons_0,add_delta,6.5625,6.53125,0.03125,Yes,Yes,False
20,50,3.0,100791,random_neurons_0,add_delta,6.5625,6.53125,0.03125,Yes,Yes,False
20,50,3.0,100850,random_neurons_0,add_delta,5.3125,5.28125,0.03125,Yes,Yes,False
20,50,3.0,100909,random_neurons_0,add_delta,14.375,14.359375,0.015625,Yes,Yes,False
20,50,3.0,100921,random_neurons_0,add_delta,14.515625,14.453125,0.0625,Yes,Yes,False
20,50,3.0,100927,random_neurons_0,add_delta,11.71875,11.6875,0.03125,Yes,Yes,False
20,50,3.0,100962,random_neurons_0,add_delta,9.9375,9.90625,0.03125,Yes,Yes,False
20,50,3.0,101157,random_neurons_0,add_delta,16.21875,16.1875,0.03125,Yes,Yes,False
20,50,3.0,101269,random_neurons_0,add_delta,13.34375,13.3125,0.03125,Yes,Yes,False
