layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,1,0.5,random_neurons_0,95,13.41233552631579,13.411842105263158,0.000493421052631579,0,0.0
20,1,0.5,random_neurons_1,95,13.41233552631579,13.412664473684211,-0.0003289473684210526,0,0.0
20,1,0.5,random_neurons_2,95,13.41233552631579,13.413322368421053,-0.000986842105263158,0,0.0
20,1,0.5,top_writer_neurons,95,13.41233552631579,13.264309210526315,0.14802631578947367,0,0.0
20,1,1.0,random_neurons_0,95,13.41233552631579,13.409868421052632,0.0024671052631578946,0,0.0
20,1,1.0,random_neurons_1,95,13.41233552631579,13.413486842105263,-0.001151315789473684,0,0.0
20,1,1.0,random_neurons_2,95,13.41233552631579,13.407236842105263,0.005098684210526316,0,0.0
20,1,1.0,top_writer_neurons,95,13.41233552631579,13.088980263157895,0.32335526315789476,0,0.0
20,1,1.5,random_neurons_0,95,13.41233552631579,13.416447368421053,-0.004111842105263158,0,0.0
20,1,1.5,random_neurons_1,95,13.41233552631579,13.405098684210527,0.007236842105263158,0,0.0
20,1,1.5,random_neurons_2,95,13.41233552631579,13.414638157894737,-0.002302631578947368,0,0.0
20,1,1.5,top_writer_neurons,95,13.41233552631579,12.885361842105263,0.5269736842105263,0,0.0
20,1,2.0,random_neurons_0,95,13.41233552631579,13.413157894736843,-0.0008223684210526315,0,0.0
20,1,2.0,random_neurons_1,95,13.41233552631579,13.41233552631579,0.0,0,0.0
20,1,2.0,random_neurons_2,95,13.41233552631579,13.420394736842105,-0.00805921052631579,0,0.0
20,1,2.0,top_writer_neurons,95,13.41233552631579,12.649835526315789,0.7625,0,0.0
20,5,0.5,random_neurons_0,95,13.41233552631579,13.410526315789474,0.0018092105263157895,0,0.0
20,5,0.5,random_neurons_1,95,13.41233552631579,13.414638157894737,-0.002302631578947368,0,0.0
20,5,0.5,random_neurons_2,95,13.41233552631579,13.411842105263158,0.000493421052631579,0,0.0
20,5,0.5,top_writer_neurons,95,13.41233552631579,12.388157894736842,1.0241776315789475,0,0.0
20,5,1.0,random_neurons_0,95,13.41233552631579,13.414144736842106,-0.0018092105263157895,0,0.0
20,5,1.0,random_neurons_1,95,13.41233552631579,13.412828947368421,-0.000493421052631579,0,0.0
20,5,1.0,random_neurons_2,95,13.41233552631579,13.416447368421053,-0.004111842105263158,0,0.0
20,5,1.0,top_writer_neurons,95,13.41233552631579,11.288322368421053,2.124013157894737,0,0.0
20,5,1.5,random_neurons_0,95,13.41233552631579,13.420723684210527,-0.008388157894736842,0,0.0
20,5,1.5,random_neurons_1,95,13.41233552631579,13.413815789473684,-0.0014802631578947369,0,0.0
20,5,1.5,random_neurons_2,95,13.41233552631579,13.413815789473684,-0.0014802631578947369,0,0.0
20,5,1.5,top_writer_neurons,95,13.41233552631579,10.1375,3.2748355263157896,0,0.0
20,5,2.0,random_neurons_0,95,13.41233552631579,13.382401315789474,0.02993421052631579,0,0.0
20,5,2.0,random_neurons_1,95,13.41233552631579,13.413815789473684,-0.0014802631578947369,0,0.0
20,5,2.0,random_neurons_2,95,13.41233552631579,13.410197368421052,0.0021381578947368422,0,0.0
20,5,2.0,top_writer_neurons,95,13.41233552631579,8.955427631578948,4.456907894736842,0,0.0
20,10,0.5,random_neurons_0,95,13.41233552631579,13.406743421052632,0.005592105263157895,0,0.0
20,10,0.5,random_neurons_1,95,13.41233552631579,13.410855263157895,0.0014802631578947369,0,0.0
20,10,0.5,random_neurons_2,95,13.41233552631579,13.4125,-0.0001644736842105263,0,0.0
20,10,0.5,top_writer_neurons,95,13.41233552631579,11.477631578947369,1.934703947368421,0,0.0
20,10,1.0,random_neurons_0,95,13.41233552631579,13.413157894736843,-0.0008223684210526315,0,0.0
20,10,1.0,random_neurons_1,95,13.41233552631579,13.395230263157895,0.017105263157894738,0,0.0
20,10,1.0,random_neurons_2,95,13.41233552631579,13.410855263157895,0.0014802631578947369,0,0.0
20,10,1.0,top_writer_neurons,95,13.41233552631579,9.407730263157895,4.004605263157894,0,0.0
20,10,1.5,random_neurons_0,95,13.41233552631579,13.422861842105263,-0.010526315789473684,0,0.0
20,10,1.5,random_neurons_1,95,13.41233552631579,13.415296052631579,-0.0029605263157894738,0,0.0
20,10,1.5,random_neurons_2,95,13.41233552631579,13.41217105263158,0.0001644736842105263,0,0.0
20,10,1.5,top_writer_neurons,95,13.41233552631579,7.316118421052631,6.0962171052631575,0,0.0
20,10,2.0,random_neurons_0,95,13.41233552631579,13.407894736842104,0.0044407894736842105,0,0.0
20,10,2.0,random_neurons_1,95,13.41233552631579,13.451809210526315,-0.039473684210526314,0,0.0
20,10,2.0,random_neurons_2,95,13.41233552631579,13.40888157894737,0.0034539473684210525,0,0.0
20,10,2.0,top_writer_neurons,95,13.41233552631579,5.276973684210526,8.135361842105263,0,0.0
20,20,0.5,random_neurons_0,95,13.41233552631579,13.422203947368422,-0.009868421052631578,0,0.0
20,20,0.5,random_neurons_1,95,13.41233552631579,13.401151315789473,0.01118421052631579,0,0.0
