layer,k,alpha,scenario_id,control_type,intervention,normal_margin,intervened_margin,delta_toward_no,normal_decision,intervened_decision,yes_to_no_flip
20,20,2.0,100034,top_writer_neurons,replace,8.21875,1.75,6.46875,Yes,Yes,False
20,20,2.0,100185,top_writer_neurons,replace,17.578125,3.71875,13.859375,Yes,Yes,False
20,20,2.0,100206,top_writer_neurons,replace,9.03125,2.25,6.78125,Yes,Yes,False
20,20,2.0,100394,top_writer_neurons,replace,8.21875,1.75,6.46875,Yes,Yes,False
20,20,2.0,100459,top_writer_neurons,replace,15.25,2.90625,12.34375,Yes,Yes,False
20,20,2.0,100505,top_writer_neurons,replace,14.0625,3.3125,10.75,Yes,Yes,False
20,20,2.0,100747,top_writer_neurons,replace,5.5,1.375,4.125,Yes,Yes,False
20,20,2.0,100791,top_writer_neurons,replace,6.5625,1.625,4.9375,Yes,Yes,False
20,20,2.0,100798,top_writer_neurons,replace,9.5,2.5,7.0,Yes,Yes,False
20,20,2.0,100850,top_writer_neurons,replace,5.3125,1.6875,3.625,Yes,Yes,False
20,20,2.0,100919,top_writer_neurons,replace,10.46875,2.5,7.96875,Yes,Yes,False
20,20,2.0,100921,top_writer_neurons,replace,14.515625,3.8125,10.703125,Yes,Yes,False
20,20,2.0,100927,top_writer_neurons,replace,11.71875,2.53125,9.1875,Yes,Yes,False
20,20,2.0,100962,top_writer_neurons,replace,9.9375,2.8125,7.125,Yes,Yes,False
20,20,2.0,101109,top_writer_neurons,replace,18.9375,3.625,15.3125,Yes,Yes,False
20,20,2.0,101157,top_writer_neurons,replace,16.21875,3.8125,12.40625,Yes,Yes,False
20,20,2.0,101397,top_writer_neurons,replace,9.5625,2.5625,7.0,Yes,Yes,False
20,20,2.0,101521,top_writer_neurons,replace,14.0625,3.3125,10.75,Yes,Yes,False
20,20,2.0,101559,top_writer_neurons,replace,12.15625,2.90625,9.25,Yes,Yes,False
20,20,2.0,101582,top_writer_neurons,replace,10.0625,2.5,7.5625,Yes,Yes,False
20,20,2.0,101660,top_writer_neurons,replace,14.09375,3.125,10.96875,Yes,Yes,False
20,20,2.0,101678,top_writer_neurons,replace,15.171875,4.0,11.171875,Yes,Yes,False
20,20,2.0,101979,top_writer_neurons,replace,12.21875,2.96875,9.25,Yes,Yes,False
20,20,2.0,101985,top_writer_neurons,replace,7.71875,2.34375,5.375,Yes,Yes,False
20,20,2.0,102112,top_writer_neurons,replace,10.0625,2.5,7.5625,Yes,Yes,False
20,20,2.0,102183,top_writer_neurons,replace,11.21875,2.9375,8.28125,Yes,Yes,False
20,20,2.0,102187,top_writer_neurons,replace,8.03125,2.53125,5.5,Yes,Yes,False
20,20,2.0,102242,top_writer_neurons,replace,12.90625,3.40625,9.5,Yes,Yes,False
20,20,2.0,102269,top_writer_neurons,replace,14.0,3.4375,10.5625,Yes,Yes,False
20,20,2.0,102285,top_writer_neurons,replace,15.171875,4.0,11.171875,Yes,Yes,False
20,20,2.0,102334,top_writer_neurons,replace,13.53125,3.25,10.28125,Yes,Yes,False
20,20,2.0,102393,top_writer_neurons,replace,16.34375,4.0,12.34375,Yes,Yes,False
20,20,2.0,102470,top_writer_neurons,replace,14.09375,3.125,10.96875,Yes,Yes,False
20,20,2.0,102559,top_writer_neurons,replace,20.3125,4.78125,15.53125,Yes,Yes,False
20,20,2.0,102596,top_writer_neurons,replace,19.890625,4.0625,15.828125,Yes,Yes,False
20,20,2.0,102600,top_writer_neurons,replace,17.78125,4.03125,13.75,Yes,Yes,False
20,20,2.0,102646,top_writer_neurons,replace,20.3125,4.78125,15.53125,Yes,Yes,False
20,20,2.0,102648,top_writer_neurons,replace,17.65625,3.875,13.78125,Yes,Yes,False
20,20,2.0,102663,top_writer_neurons,replace,20.65625,4.875,15.78125,Yes,Yes,False
20,20,2.0,102704,top_writer_neurons,replace,19.234375,3.9375,15.296875,Yes,Yes,False
20,20,2.0,102734,top_writer_neurons,replace,17.203125,3.5,13.703125,Yes,Yes,False
20,20,2.0,102761,top_writer_neurons,replace,19.921875,4.65625,15.265625,Yes,Yes,False
20,20,2.0,102770,top_writer_neurons,replace,13.828125,3.65625,10.171875,Yes,Yes,False
20,20,2.0,102782,top_writer_neurons,replace,13.34375,3.28125,10.0625,Yes,Yes,False
20,20,2.0,102833,top_writer_neurons,replace,18.0,4.21875,13.78125,Yes,Yes,False
20,20,2.0,102946,top_writer_neurons,replace,16.71875,3.9375,12.78125,Yes,Yes,False
20,20,2.0,102969,top_writer_neurons,replace,16.203125,3.46875,12.734375,Yes,Yes,False
20,20,2.0,103124,top_writer_neurons,replace,16.640625,3.46875,13.171875,Yes,Yes,False
20,20,2.0,103156,top_writer_neurons,replace,16.84375,3.71875,13.125,Yes,Yes,False
20,20,2.0,103239,top_writer_neurons,replace,17.015625,3.9375,13.078125,Yes,Yes,False
20,20,2.0,103354,top_writer_neurons,replace,14.109375,3.59375,10.515625,Yes,Yes,False
20,20,2.0,103377,top_writer_neurons,replace,20.71875,4.25,16.46875,Yes,Yes,False
20,20,2.0,103382,top_writer_neurons,replace,17.296875,3.96875,13.328125,Yes,Yes,False
20,20,2.0,103470,top_writer_neurons,replace,17.8125,4.53125,13.28125,Yes,Yes,False
20,20,2.0,103582,top_writer_neurons,replace,20.59375,4.0625,16.53125,Yes,Yes,False
20,20,2.0,103628,top_writer_neurons,replace,16.640625,3.46875,13.171875,Yes,Yes,False
20,20,2.0,103671,top_writer_neurons,replace,10.625,2.5,8.125,Yes,Yes,False
20,20,2.0,103672,top_writer_neurons,replace,17.59375,3.125,14.46875,Yes,Yes,False
20,20,2.0,103691,top_writer_neurons,replace,12.3125,3.09375,9.21875,Yes,Yes,False
20,20,2.0,103766,top_writer_neurons,replace,20.5625,4.59375,15.96875,Yes,Yes,False
20,20,2.0,103792,top_writer_neurons,replace,12.3125,3.09375,9.21875,Yes,Yes,False
20,20,2.0,103847,top_writer_neurons,replace,11.734375,2.875,8.859375,Yes,Yes,False
20,20,2.0,103920,top_writer_neurons,replace,17.65625,3.875,13.78125,Yes,Yes,False
20,20,2.0,103971,top_writer_neurons,replace,11.734375,2.875,8.859375,Yes,Yes,False
20,20,2.0,103998,top_writer_neurons,replace,13.984375,2.90625,11.078125,Yes,Yes,False
