model,model_short,scenario_id,experiment,patch_family,is_control,layer,source_version,target_version,source_expected,target_expected,expected_direction,source_sites,target_sites,n_patched_tokens,source_margin,target_original_margin,patched_margin,patch_effect,aligned_effect,source_decision,target_original_decision,patched_decision,source_yes_logit,source_no_logit,target_original_yes_logit,target_original_no_logit,patched_yes_logit,patched_no_logit,source_prompt_len,target_prompt_len
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,0,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,1,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,2,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.8125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,3,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,4,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,5,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.53125,-0.03125,-0.03125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,6,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.8125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,7,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.53125,-0.03125,-0.03125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.34375,35.8125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,8,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.8125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,9,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.78125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,10,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.78125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,11,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.625,0.0625,0.0625,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.78125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,12,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.65625,0.09375,0.09375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.375,35.71875,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,13,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.65625,0.09375,0.09375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.40625,35.75,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,14,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.6875,0.125,0.125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.46875,35.78125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,15,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.6875,0.125,0.125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.5,35.8125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,16,A,D,Yes,No,1,final,final,1,8.875,0.5625,0.78125,0.21875,0.21875,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.5625,35.78125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,17,A,D,Yes,No,1,final,final,1,8.875,0.5625,1.0,0.4375,0.4375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.84375,35.84375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,18,A,D,Yes,No,1,final,final,1,8.875,0.5625,3.40625,2.84375,2.84375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,39.4375,36.03125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,19,A,D,Yes,No,1,final,final,1,8.875,0.5625,4.78125,4.21875,4.21875,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,40.6875,35.90625,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,20,A,D,Yes,No,1,final,final,1,8.875,0.5625,7.875,7.3125,7.3125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,42.53125,34.65625,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,21,A,D,Yes,No,1,final,final,1,8.875,0.5625,7.9375,7.375,7.375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,42.59375,34.65625,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,22,A,D,Yes,No,1,final,final,1,8.875,0.5625,7.90625,7.34375,7.34375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,42.59375,34.6875,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,23,A,D,Yes,No,1,final,final,1,8.875,0.5625,8.03125,7.46875,7.46875,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,42.65625,34.625,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,24,A,D,Yes,No,1,final,final,1,8.875,0.5625,8.09375,7.53125,7.53125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,42.6875,34.59375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,25,A,D,Yes,No,1,final,final,1,8.875,0.5625,8.53125,7.96875,7.96875,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,43.03125,34.5,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,26,A,D,Yes,No,1,final,final,1,8.875,0.5625,8.84375,8.28125,8.28125,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,43.125,34.28125,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_A_to_D,final_AD,False,27,A,D,Yes,No,1,final,final,1,8.875,0.5625,5.546875,4.984375,4.984375,Yes,Yes,Yes,43.125,34.25,36.40625,35.84375,36.53125,30.984375,82,83
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100034,final_AD_D_to_A,final_AD,False,0,D,A,No,Yes,-1,final,final,1,0.5625,8.875,8.875,0.0,-0.0,Yes,Yes,Yes,36.40625,35.84375,43.125,34.25,43.125,34.25,83,82
