model,model_short,scenario_id,experiment,patch_family,is_control,layer,source_version,target_version,source_expected,target_expected,expected_direction,source_sites,target_sites,n_patched_tokens,source_margin,target_original_margin,patched_margin,patch_effect,aligned_effect,source_decision,target_original_decision,patched_decision,source_yes_logit,source_no_logit,target_original_yes_logit,target_original_no_logit,patched_yes_logit,patched_no_logit,source_prompt_len,target_prompt_len
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,0,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,1,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,2,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,3,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,4,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,5,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,6,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,7,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.03125,35.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,8,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.03125,35.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,final_AC_A_to_C,final_AC,False,9,A,C,Yes,No,1,final,final,1,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.03125,35.4375,76,76
