model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,0,87,0.0017959770114942528,0.0,0.0017959770114942528,0.0,0.008979885057471264,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,1,87,0.006824712643678161,0.0,0.006824712643678161,0.0,0.01257183908045977,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,2,87,0.0021551724137931034,0.0,0.0021551724137931034,0.0,0.01221264367816092,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,3,87,0.0028735632183908046,0.0,0.0028735632183908046,0.0,0.011494252873563218,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,4,87,0.004310344827586207,0.0,0.004310344827586207,0.0,0.010057471264367816,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,5,87,0.0017959770114942528,0.0,0.0017959770114942528,0.0,0.008979885057471264,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,6,87,0.003951149425287357,0.0,0.003951149425287357,0.0,0.014008620689655173,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,7,87,0.002514367816091954,0.0,0.002514367816091954,0.0,0.016882183908045977,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,8,87,0.007902298850574713,0.0,0.007902298850574713,0.0,0.015804597701149427,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,9,87,0.022988505747126436,0.03125,0.022988505747126436,0.03125,0.03089080459770115,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,10,87,0.02514367816091954,0.03125,0.02514367816091954,0.03125,0.034482758620689655,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,11,87,0.0305316091954023,0.03125,0.0305316091954023,0.03125,0.03771551724137931,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,12,87,0.04849137931034483,0.0625,0.04849137931034483,0.0625,0.051364942528735635,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,13,87,0.0668103448275862,0.0625,0.0668103448275862,0.0625,0.06896551724137931,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,14,87,0.09303160919540229,0.09375,0.09303160919540229,0.09375,0.09303160919540229,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,15,87,0.15768678160919541,0.15625,0.15768678160919541,0.15625,0.15768678160919541,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,16,87,0.24748563218390804,0.25,0.24748563218390804,0.25,0.24748563218390804,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,17,87,0.4953304597701149,0.4375,0.4953304597701149,0.4375,0.4953304597701149,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,18,87,4.941091954022989,5.28125,4.941091954022989,5.28125,4.941091954022989,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,19,87,6.636853448275862,7.0625,6.636853448275862,7.0625,6.636853448275862,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,20,87,10.129130747126437,10.78125,10.129130747126437,10.78125,10.129130747126437,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,21,87,10.30621408045977,10.953125,10.30621408045977,10.953125,10.30621408045977,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,22,87,10.286099137931034,10.921875,10.286099137931034,10.921875,10.286099137931034,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,23,87,10.568067528735632,11.25,10.568067528735632,11.25,10.568067528735632,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,24,87,10.624102011494253,11.28125,10.624102011494253,11.28125,10.624102011494253,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,25,87,11.211027298850574,11.9375,11.211027298850574,11.9375,11.211027298850574,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,26,87,11.489942528735632,12.25,11.489942528735632,12.25,11.489942528735632,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_A_to_C,27,87,7.681393678160919,8.3125,7.681393678160919,8.3125,7.681393678160919,0.022988505747126436
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,0,87,0.001257183908045977,0.0,-0.001257183908045977,-0.0,0.009159482758620689,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,1,87,0.0014367816091954023,0.0,-0.0014367816091954023,-0.0,0.015804597701149427,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,2,87,-0.007543103448275862,-0.015625,0.007543103448275862,0.015625,0.020114942528735632,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,3,87,-0.004489942528735632,0.0,0.004489942528735632,-0.0,0.017780172413793104,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,4,87,-0.003232758620689655,0.0,0.003232758620689655,-0.0,0.01903735632183908,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,5,87,-0.010057471264367816,0.0,0.010057471264367816,-0.0,0.023706896551724137,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,6,87,-0.009698275862068966,-0.015625,0.009698275862068966,0.015625,0.028376436781609195,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,7,87,-0.00646551724137931,0.0,0.00646551724137931,-0.0,0.027658045977011495,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,8,87,-0.007543103448275862,-0.015625,0.007543103448275862,0.015625,0.03017241379310345,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,9,87,-0.01993534482758621,-0.015625,0.01993534482758621,0.015625,0.03897270114942529,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,10,87,-0.017061781609195404,-0.015625,0.017061781609195404,0.015625,0.0447198275862069,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,11,87,-0.017420977011494254,-0.015625,0.017420977011494254,0.015625,0.042205459770114945,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,12,87,-0.03502155172413793,-0.03125,0.03502155172413793,0.03125,0.055854885057471264,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,13,87,-0.059985632183908046,-0.0625,0.059985632183908046,0.0625,0.06860632183908046,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,14,87,-0.08566810344827586,-0.078125,0.08566810344827586,0.078125,0.09572557471264367,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,15,87,-0.1840876436781609,-0.171875,0.1840876436781609,0.171875,0.1840876436781609,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AC,final_AC_C_to_A,16,87,-0.2880747126436782,-0.296875,0.2880747126436782,0.296875,0.2880747126436782,0.0
