model,model_short,scenario_id,experiment,patch_family,is_control,layer,source_version,target_version,source_expected,target_expected,expected_direction,source_sites,target_sites,n_patched_tokens,source_margin,target_original_margin,patched_margin,patch_effect,aligned_effect,source_decision,target_original_decision,patched_decision,source_yes_logit,source_no_logit,target_original_yes_logit,target_original_no_logit,patched_yes_logit,patched_no_logit,source_prompt_len,target_prompt_len
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,0,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.1875,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,1,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.65625,35.21875,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,2,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.1875,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,3,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.1875,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,4,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.46875,0.03125,0.03125,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.15625,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,5,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.46875,0.03125,0.03125,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.65625,35.1875,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,6,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.46875,0.03125,0.03125,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.15625,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,7,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.59375,35.15625,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,8,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.4375,0.0,0.0,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.59375,35.15625,78,80
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100169,final_AB_A_to_B,final_AB,False,9,A,B,Yes,No,1,final,final,1,6.46875,0.4375,0.46875,0.03125,0.03125,Yes,Yes,Yes,40.875,34.40625,35.65625,35.21875,35.625,35.15625,78,80
