model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,0,49,-0.001913265306122449,0.0,-0.001913265306122449,0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,1,49,-0.009566326530612245,0.0,-0.009566326530612245,0.0,0.01594387755102041,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,2,49,-0.008290816326530613,0.0,-0.008290816326530613,0.0,0.010841836734693877,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,3,49,-0.00701530612244898,0.0,-0.00701530612244898,0.0,0.013392857142857142,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,4,49,-0.005739795918367347,0.0,-0.005739795918367347,0.0,0.013392857142857142,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,5,49,-0.008290816326530613,0.0,-0.008290816326530613,0.0,0.022321428571428572,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,6,49,-0.007653061224489796,0.0,-0.007653061224489796,0.0,0.02040816326530612,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,7,49,-0.001913265306122449,0.0,-0.001913265306122449,0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,8,49,-0.011479591836734694,0.0,-0.011479591836734694,0.0,0.02040816326530612,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,9,49,-0.00510204081632653,0.0,-0.00510204081632653,0.0,0.02040816326530612,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,10,49,-0.0031887755102040817,0.0,-0.0031887755102040817,0.0,0.022321428571428572,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,11,49,0.0012755102040816326,0.0,0.0012755102040816326,0.0,0.02295918367346939,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,12,49,0.00510204081632653,0.0,0.00510204081632653,0.0,0.02423469387755102,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,13,49,0.02423469387755102,0.03125,0.02423469387755102,0.03125,0.02806122448979592,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,14,49,0.051658163265306124,0.0625,0.051658163265306124,0.0625,0.054209183673469385,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,15,49,0.11224489795918367,0.09375,0.11224489795918367,0.09375,0.11224489795918367,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,16,49,0.1747448979591837,0.15625,0.1747448979591837,0.15625,0.1747448979591837,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,17,49,0.35778061224489793,0.375,0.35778061224489793,0.375,0.35778061224489793,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,18,49,3.757015306122449,3.625,3.757015306122449,3.625,3.757015306122449,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,19,49,4.958545918367347,5.0,4.958545918367347,5.0,4.958545918367347,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,20,49,7.360012755102041,7.8125,7.360012755102041,7.8125,7.360012755102041,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,21,49,7.505420918367347,7.96875,7.505420918367347,7.96875,7.505420918367347,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,22,49,7.501275510204081,7.9375,7.501275510204081,7.9375,7.501275510204081,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,23,49,7.7123724489795915,8.09375,7.7123724489795915,8.09375,7.7123724489795915,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,24,49,7.7592474489795915,8.125,7.7592474489795915,8.125,7.7592474489795915,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,25,49,8.1875,8.53125,8.1875,8.53125,8.1875,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,26,49,8.441645408163266,8.8125,8.441645408163266,8.8125,8.441645408163266,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_A_to_B,27,49,5.1167091836734695,5.453125,5.1167091836734695,5.453125,5.1167091836734695,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,0,49,-0.005739795918367347,0.0,0.005739795918367347,-0.0,0.008290816326530613,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,1,49,-0.002551020408163265,0.0,0.002551020408163265,-0.0,0.01211734693877551,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AB,final_AB_B_to_A,2,49,-0.001913265306122449,0.0,0.001913265306122449,-0.0,0.010841836734693877,0.0
