model,model_short,scenario_id,experiment,patch_family,is_control,layer,source_version,target_version,source_expected,target_expected,expected_direction,source_sites,target_sites,n_patched_tokens,source_margin,target_original_margin,patched_margin,patch_effect,aligned_effect,source_decision,target_original_decision,patched_decision,source_yes_logit,source_no_logit,target_original_yes_logit,target_original_no_logit,patched_yes_logit,patched_no_logit,source_prompt_len,target_prompt_len
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,0,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.59375,9.03125,9.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.03125,32.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,1,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.5625,9.0,9.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,41.96875,32.40625,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,2,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.625,9.0625,9.0625,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.0625,32.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,3,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.59375,9.03125,9.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.03125,32.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,4,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.5,8.9375,8.9375,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.0,32.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,5,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.53125,8.96875,8.96875,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.0,32.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,6,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.59375,9.03125,9.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.09375,32.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,7,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.4375,8.875,8.875,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,41.875,32.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,8,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.65625,9.09375,9.09375,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.03125,32.375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,9,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.875,9.3125,9.3125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.03125,32.15625,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,10,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,10.53125,9.96875,9.96875,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.59375,32.0625,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,11,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,10.15625,9.59375,9.59375,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,42.28125,32.125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,12,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,9.46875,8.90625,8.90625,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,41.75,32.28125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,13,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,8.5625,8.0,8.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,41.09375,32.53125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,14,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,8.53125,7.96875,7.96875,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,40.8125,32.28125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,15,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,6.34375,5.78125,5.78125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,39.5625,33.21875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,16,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,3.5625,3.0,3.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,38.0,34.4375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,17,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,1.65625,1.09375,1.09375,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.75,35.09375,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,18,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.625,0.0625,0.0625,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.46875,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,19,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,20,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,21,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,22,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,23,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,24,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,25,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.53125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,26,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.59375,0.03125,0.03125,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.09375,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_A_to_C,purpose_span_AC,False,27,A,C,Yes,No,1,purpose_span,purpose_span,2,9.5625,0.5625,0.5625,0.0,0.0,Yes,Yes,Yes,42.0,32.4375,36.0625,35.5,36.0625,35.5,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_C_to_A,purpose_span_AC,False,0,C,A,No,Yes,-1,purpose_span,purpose_span,2,0.5625,9.5625,0.46875,-9.09375,9.09375,Yes,Yes,Yes,36.0625,35.5,42.0,32.4375,36.0,35.53125,76,76
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,100041,purpose_span_AC_C_to_A,purpose_span_AC,False,1,C,A,No,Yes,-1,purpose_span,purpose_span,2,0.5625,9.5625,0.375,-9.1875,9.1875,Yes,Yes,Yes,36.0625,35.5,42.0,32.4375,35.9375,35.5625,76,76
