layer,k,scenario_id,control_type,ablation_mode,normal_margin,intervened_margin,delta_toward_yes,normal_decision,intervened_decision,no_to_yes_flip
27,1,100034,top_writer_neurons,mean,-0.8125,-0.8125,0.0,No,No,False
27,1,100185,top_writer_neurons,mean,-0.65625,-0.6875,-0.03125,No,No,False
27,1,100206,top_writer_neurons,mean,-0.25,-0.28125,-0.03125,No,No,False
27,1,100394,top_writer_neurons,mean,-0.0625,-0.09375,-0.03125,No,No,False
27,1,100459,top_writer_neurons,mean,-1.875,-1.90625,-0.03125,No,No,False
27,1,100505,top_writer_neurons,mean,-0.78125,-0.84375,-0.0625,No,No,False
27,1,100747,top_writer_neurons,mean,-0.28125,-0.3125,-0.03125,No,No,False
27,1,100791,top_writer_neurons,mean,-0.59375,-0.59375,0.0,No,No,False
27,1,100798,top_writer_neurons,mean,-0.1875,-0.1875,0.0,No,No,False
27,1,100850,top_writer_neurons,mean,-0.34375,-0.34375,0.0,No,No,False
27,1,100919,top_writer_neurons,mean,-0.1875,-0.1875,0.0,No,No,False
27,1,100921,top_writer_neurons,mean,-0.78125,-0.8125,-0.03125,No,No,False
27,1,100927,top_writer_neurons,mean,-0.40625,-0.4375,-0.03125,No,No,False
27,1,100962,top_writer_neurons,mean,-0.25,-0.28125,-0.03125,No,No,False
27,1,101109,top_writer_neurons,mean,-1.125,-1.125,0.0,No,No,False
27,1,101157,top_writer_neurons,mean,-0.84375,-0.875,-0.03125,No,No,False
27,1,101397,top_writer_neurons,mean,0.0,0.0,0.0,No,No,False
27,1,101521,top_writer_neurons,mean,-0.34375,-0.375,-0.03125,No,No,False
27,1,101559,top_writer_neurons,mean,-0.03125,-0.03125,0.0,No,No,False
27,1,101582,top_writer_neurons,mean,-1.15625,-1.1875,-0.03125,No,No,False
27,1,101660,top_writer_neurons,mean,-2.84375,-2.875,-0.03125,No,No,False
27,1,101678,top_writer_neurons,mean,-1.15625,-1.1875,-0.03125,No,No,False
27,1,101979,top_writer_neurons,mean,-0.0625,-0.09375,-0.03125,No,No,False
27,1,101985,top_writer_neurons,mean,-0.96875,-1.03125,-0.0625,No,No,False
27,1,102112,top_writer_neurons,mean,-0.53125,-0.59375,-0.0625,No,No,False
27,1,102183,top_writer_neurons,mean,-0.59375,-0.625,-0.03125,No,No,False
27,1,102187,top_writer_neurons,mean,-0.03125,-0.03125,0.0,No,No,False
27,1,102242,top_writer_neurons,mean,-2.15625,-2.15625,0.0,No,No,False
27,1,102269,top_writer_neurons,mean,-0.34375,-0.375,-0.03125,No,No,False
27,1,102285,top_writer_neurons,mean,-1.15625,-1.15625,0.0,No,No,False
27,1,102334,top_writer_neurons,mean,-0.875,-0.90625,-0.03125,No,No,False
27,1,102393,top_writer_neurons,mean,-0.75,-0.78125,-0.03125,No,No,False
27,1,102470,top_writer_neurons,mean,-1.0,-1.03125,-0.03125,No,No,False
27,1,102559,top_writer_neurons,mean,-0.3125,-0.3125,0.0,No,No,False
27,1,102596,top_writer_neurons,mean,-0.40625,-0.4375,-0.03125,No,No,False
27,1,102600,top_writer_neurons,mean,-0.40625,-0.4375,-0.03125,No,No,False
27,1,102646,top_writer_neurons,mean,-0.34375,-0.375,-0.03125,No,No,False
27,1,102648,top_writer_neurons,mean,-0.03125,-0.03125,0.0,No,No,False
27,1,102663,top_writer_neurons,mean,-0.40625,-0.4375,-0.03125,No,No,False
27,1,102704,top_writer_neurons,mean,-0.65625,-0.65625,0.0,No,No,False
