layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
20,1,random_neurons_0,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,0,0.0
20,1,random_neurons_1,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
20,1,random_neurons_2,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
20,1,top_writer_neurons,95,-0.6588815789473684,-0.7921052631578948,-0.13322368421052633,0,0.0
20,5,random_neurons_0,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
20,5,random_neurons_1,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
20,5,random_neurons_2,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,0,0.0
20,5,top_writer_neurons,95,-0.6588815789473684,0.4976973684210526,1.1565789473684212,82,0.8631578947368421
20,10,random_neurons_0,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
20,10,random_neurons_1,95,-0.6588815789473684,-0.6447368421052632,0.014144736842105264,1,0.010526315789473684
20,10,random_neurons_2,95,-0.6588815789473684,-0.6513157894736842,0.007565789473684211,1,0.010526315789473684
20,10,top_writer_neurons,95,-0.6588815789473684,1.70625,2.3651315789473686,94,0.9894736842105263
20,20,random_neurons_0,95,-0.6588815789473684,-0.6618421052631579,-0.0029605263157894738,0,0.0
20,20,random_neurons_1,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
20,20,random_neurons_2,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
20,20,top_writer_neurons,95,-0.6588815789473684,2.6220394736842105,3.280921052631579,95,1.0
20,50,random_neurons_0,95,-0.6588815789473684,-0.662828947368421,-0.003947368421052632,1,0.010526315789473684
20,50,random_neurons_1,95,-0.6588815789473684,-0.6470394736842106,0.011842105263157895,2,0.021052631578947368
20,50,random_neurons_2,95,-0.6588815789473684,-0.6463815789473685,0.0125,2,0.021052631578947368
20,50,top_writer_neurons,95,-0.6588815789473684,3.2746710526315788,3.9335526315789475,95,1.0
20,100,random_neurons_0,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
20,100,random_neurons_1,95,-0.6588815789473684,-0.6269736842105263,0.03190789473684211,3,0.031578947368421054
20,100,random_neurons_2,95,-0.6588815789473684,-0.6677631578947368,-0.008881578947368421,0,0.0
20,100,top_writer_neurons,95,-0.6588815789473684,4.451973684210526,5.1108552631578945,95,1.0
20,200,random_neurons_0,95,-0.6588815789473684,-0.6661184210526315,-0.007236842105263158,0,0.0
20,200,random_neurons_1,95,-0.6588815789473684,-0.6302631578947369,0.028618421052631578,3,0.031578947368421054
20,200,random_neurons_2,95,-0.6588815789473684,-0.7036184210526316,-0.04473684210526316,0,0.0
20,200,top_writer_neurons,95,-0.6588815789473684,5.087828947368421,5.746710526315789,95,1.0
21,1,random_neurons_0,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
21,1,random_neurons_1,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,0,0.0
21,1,random_neurons_2,95,-0.6588815789473684,-0.6575657894736842,0.0013157894736842105,1,0.010526315789473684
21,1,top_writer_neurons,95,-0.6588815789473684,-0.7575657894736842,-0.09868421052631579,1,0.010526315789473684
21,5,random_neurons_0,95,-0.6588815789473684,-0.6634868421052632,-0.004605263157894736,1,0.010526315789473684
21,5,random_neurons_1,95,-0.6588815789473684,-0.6536184210526316,0.005263157894736842,1,0.010526315789473684
21,5,random_neurons_2,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
21,5,top_writer_neurons,95,-0.6588815789473684,-0.29539473684210527,0.36348684210526316,41,0.43157894736842106
21,10,random_neurons_0,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
21,10,random_neurons_1,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
21,10,random_neurons_2,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
21,10,top_writer_neurons,95,-0.6588815789473684,-0.3111842105263158,0.34769736842105264,38,0.4
21,20,random_neurons_0,95,-0.6588815789473684,-0.6644736842105263,-0.005592105263157895,0,0.0
21,20,random_neurons_1,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
21,20,random_neurons_2,95,-0.6588815789473684,-0.6483552631578947,0.010526315789473684,1,0.010526315789473684
21,20,top_writer_neurons,95,-0.6588815789473684,0.11546052631578947,0.7743421052631579,63,0.6631578947368421
21,50,random_neurons_0,95,-0.6588815789473684,-0.6506578947368421,0.008223684210526315,2,0.021052631578947368
21,50,random_neurons_1,95,-0.6588815789473684,-0.6523026315789474,0.006578947368421052,1,0.010526315789473684
21,50,random_neurons_2,95,-0.6588815789473684,-0.6503289473684211,0.008552631578947369,1,0.010526315789473684
21,50,top_writer_neurons,95,-0.6588815789473684,0.9016447368421052,1.5605263157894738,86,0.9052631578947369
21,100,random_neurons_0,95,-0.6588815789473684,-0.6615131578947369,-0.002631578947368421,0,0.0
21,100,random_neurons_1,95,-0.6588815789473684,-0.6690789473684211,-0.010197368421052632,1,0.010526315789473684
21,100,random_neurons_2,95,-0.6588815789473684,-0.6266447368421053,0.03223684210526316,3,0.031578947368421054
21,100,top_writer_neurons,95,-0.6588815789473684,1.0802631578947368,1.7391447368421054,86,0.9052631578947369
21,200,random_neurons_0,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
21,200,random_neurons_1,95,-0.6588815789473684,-0.7309210526315789,-0.07203947368421053,0,0.0
