layer,head,writer_score,abs_writer_score,pre_delta_norm,contrib_gap_norm,direction_dot,n_pairs,selection_name,control_type,k,random_id
18,15,0.9017426371574402,0.9017426371574402,2.386636018753052,2.372544527053833,0.9017426371574402,304,L18_top5_per_layer,top_heads,5,-1
18,18,0.8556698560714722,0.8556698560714722,2.239391565322876,2.372413396835327,0.8556698560714722,304,L18_top5_per_layer,top_heads,5,-1
18,4,0.7217386960983276,0.7217386960983276,1.840306043624878,2.201396942138672,0.7217386960983276,304,L18_top5_per_layer,top_heads,5,-1
18,13,0.5125246047973633,0.5125246047973633,1.8145490884780884,1.873307466506958,0.5125246047973633,304,L18_top5_per_layer,top_heads,5,-1
18,20,0.4734363257884979,0.4734363257884979,1.7487298250198364,1.5906798839569092,0.4734363257884979,304,L18_top5_per_layer,top_heads,5,-1
18,9,0.0645498260855674,0.0645498260855674,0.3245347738265991,0.306498259305954,0.0645498260855674,304,L18_random5_per_layer_r0,random_heads,5,0
18,10,0.0564142912626266,0.0564142912626266,1.019928216934204,0.976142644882202,0.0564142912626266,304,L18_random5_per_layer_r0,random_heads,5,0
18,1,0.0047807958908379,0.0047807958908379,0.1376149654388427,0.1467427760362625,0.0047807958908379,304,L18_random5_per_layer_r0,random_heads,5,0
18,3,-0.0007035572780296,0.0007035572780296,0.0460473224520683,0.0452729612588882,-0.0007035572780296,304,L18_random5_per_layer_r0,random_heads,5,0
18,6,-0.022276148200035,0.022276148200035,0.2048736959695816,0.1823294162750244,-0.022276148200035,304,L18_random5_per_layer_r0,random_heads,5,0
