level,selection_name,control_type,layer,k,alpha,random_id,add_scale,n,normal_yes_count,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
seed,L22_random_top100_r0,random_neurons,22,100,0.5,0,0.061756540561,16.0,16.0,5.18359375,5.1806640625,0.0029296875,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,1.0,0,0.061756540561,16.0,16.0,5.18359375,5.1748046875,0.0087890625,0.0,0.0
seed,L22_random_top100_r0,random_neurons,22,100,2.0,0,0.061756540561,16.0,16.0,5.18359375,5.154296875,0.029296875,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,0.5,0,0.0970970203272,16.0,16.0,5.18359375,5.1748046875,0.0087890625,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,1.0,0,0.0970970203272,16.0,16.0,5.18359375,5.1591796875,0.0244140625,0.0,0.0
seed,L22_random_top50_r0,random_neurons,22,50,2.0,0,0.0970970203272,16.0,16.0,5.18359375,5.142578125,0.041015625,0.0,0.0
seed,L22_top100,ci_top_neurons,22,100,0.5,-1,20.812126861000003,16.0,16.0,5.18359375,2.8125,2.37109375,5.0,0.3125
seed,L22_top100,ci_top_neurons,22,100,1.0,-1,20.812126861000003,16.0,16.0,5.18359375,0.69921875,4.484375,9.0,0.5625
seed,L22_top100,ci_top_neurons,22,100,2.0,-1,20.812126861000003,16.0,16.0,5.18359375,-2.65625,7.83984375,15.0,0.9375
seed,L22_top50,ci_top_neurons,22,50,0.5,-1,18.600777449,16.0,16.0,5.18359375,3.052734375,2.130859375,3.0,0.1875
seed,L22_top50,ci_top_neurons,22,50,1.0,-1,18.600777449,16.0,16.0,5.18359375,1.123046875,4.060546875,7.0,0.4375
seed,L22_top50,ci_top_neurons,22,50,2.0,-1,18.600777449,16.0,16.0,5.18359375,-2.03515625,7.21875,14.0,0.875
