level,selection_name,control_type,layer,k,alpha,random_id,add_scale,n,normal_yes_count,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,0.5,0,0.061756540561,2.0,2.0,3.0,3.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,1.0,0,0.061756540561,2.0,2.0,3.0,3.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,2.0,0,0.061756540561,2.0,2.0,3.0,2.96875,0.03125,0.0,0.0
trajectory_enhancing,L22_random_top50_r0,random_neurons,22,50,0.5,0,0.0970970203272,2.0,2.0,3.0,3.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top50_r0,random_neurons,22,50,1.0,0,0.0970970203272,2.0,2.0,3.0,2.984375,0.015625,0.0,0.0
trajectory_enhancing,L22_random_top50_r0,random_neurons,22,50,2.0,0,0.0970970203272,2.0,2.0,3.0,2.96875,0.03125,0.0,0.0
trajectory_enhancing,L22_top100,ci_top_neurons,22,100,0.5,-1,20.812126861000003,2.0,2.0,3.0,0.15625,2.84375,1.0,0.5
trajectory_enhancing,L22_top100,ci_top_neurons,22,100,1.0,-1,20.812126861000003,2.0,2.0,3.0,-2.28125,5.28125,2.0,1.0
trajectory_enhancing,L22_top100,ci_top_neurons,22,100,2.0,-1,20.812126861000003,2.0,2.0,3.0,-6.0,9.0,2.0,1.0
trajectory_enhancing,L22_top50,ci_top_neurons,22,50,0.5,-1,18.600777449,2.0,2.0,3.0,0.421875,2.578125,1.0,0.5
trajectory_enhancing,L22_top50,ci_top_neurons,22,50,1.0,-1,18.600777449,2.0,2.0,3.0,-1.8125,4.8125,1.0,0.5
trajectory_enhancing,L22_top50,ci_top_neurons,22,50,2.0,-1,18.600777449,2.0,2.0,3.0,-5.3125,8.3125,2.0,1.0
