layer,neuron,writer_score,selection_name,control_type,k,random_id
22,13149,8.355249,L22_top50,ci_top_neurons,50,-1
22,11531,1.5902708,L22_top50,ci_top_neurons,50,-1
22,14624,1.3383467,L22_top50,ci_top_neurons,50,-1
22,9352,0.66288507,L22_top50,ci_top_neurons,50,-1
22,3815,0.6507931,L22_top50,ci_top_neurons,50,-1
22,2394,0.5837613,L22_top50,ci_top_neurons,50,-1
22,5032,0.3543022,L22_top50,ci_top_neurons,50,-1
22,10464,0.3308488,L22_top50,ci_top_neurons,50,-1
22,8751,0.32438967,L22_top50,ci_top_neurons,50,-1
22,5421,0.31219456,L22_top50,ci_top_neurons,50,-1
22,2827,0.24421923,L22_top50,ci_top_neurons,50,-1
22,15990,0.23733501,L22_top50,ci_top_neurons,50,-1
22,3678,0.1709608,L22_top50,ci_top_neurons,50,-1
22,15847,0.16629364,L22_top50,ci_top_neurons,50,-1
22,13533,0.16534698,L22_top50,ci_top_neurons,50,-1
22,7916,0.15676099,L22_top50,ci_top_neurons,50,-1
22,8044,0.1550504,L22_top50,ci_top_neurons,50,-1
22,13990,0.1378804,L22_top50,ci_top_neurons,50,-1
22,12430,0.12295174,L22_top50,ci_top_neurons,50,-1
22,1292,0.11953758,L22_top50,ci_top_neurons,50,-1
22,17082,0.11884593,L22_top50,ci_top_neurons,50,-1
22,14979,0.10486192,L22_top50,ci_top_neurons,50,-1
22,18106,0.10149079,L22_top50,ci_top_neurons,50,-1
22,8997,0.10057842,L22_top50,ci_top_neurons,50,-1
22,16861,0.09693673,L22_top50,ci_top_neurons,50,-1
22,2999,0.09566685,L22_top50,ci_top_neurons,50,-1
22,1315,0.095173836,L22_top50,ci_top_neurons,50,-1
22,9439,0.09141137,L22_top50,ci_top_neurons,50,-1
22,14094,0.084573805,L22_top50,ci_top_neurons,50,-1
22,15021,0.084081635,L22_top50,ci_top_neurons,50,-1
22,6804,0.08315111,L22_top50,ci_top_neurons,50,-1
22,65,0.080386676,L22_top50,ci_top_neurons,50,-1
22,4654,0.078724526,L22_top50,ci_top_neurons,50,-1
