level,selection_name,control_type,layer,k,alpha,random_id,n,normal_no_count,normal_margin_mean,patched_margin_mean,delta_toward_yes_mean,patched_yes_count,patched_yes_rate,no_to_yes_flips,no_to_yes_flip_rate
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,1.0,0,493.0,493.0,-22.77440415821501,-22.77424568965517,0.0001584685598377282,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,2.0,0,493.0,493.0,-22.77440415821501,-22.774372464503042,3.169371196754564e-05,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,4.0,0,493.0,493.0,-22.77440415821501,-22.77418230223124,0.00022185598377281947,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top100_r0,random_neurons,22,100,6.0,0,493.0,493.0,-22.77440415821501,-22.77427738336714,0.00012677484787018255,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top200_r0,random_neurons,22,200,1.0,0,493.0,493.0,-22.77440415821501,-22.77269269776876,0.0017114604462474645,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top200_r0,random_neurons,22,200,2.0,0,493.0,493.0,-22.77440415821501,-22.770981237322516,0.003422920892494929,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top200_r0,random_neurons,22,200,4.0,0,493.0,493.0,-22.77440415821501,-22.766100405679513,0.008303752535496957,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top200_r0,random_neurons,22,200,6.0,0,493.0,493.0,-22.77440415821501,-22.76096602434077,0.01343813387423935,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top500_r0,random_neurons,22,500,1.0,0,493.0,493.0,-22.77440415821501,-22.77440415821501,0.0,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top500_r0,random_neurons,22,500,2.0,0,493.0,493.0,-22.77440415821501,-22.77440415821501,0.0,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top500_r0,random_neurons,22,500,4.0,0,493.0,493.0,-22.77440415821501,-22.77440415821501,0.0,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top500_r0,random_neurons,22,500,6.0,0,493.0,493.0,-22.77440415821501,-22.77440415821501,0.0,0.0,0.0,0.0,0.0
trajectory_enhancing,L22_random_top50_r0,random_neurons,22,50,1.0,0,493.0,493.0,-22.77440415821501,-22.77440415821501,0.0,0.0,0.0,0.0,0.0
