layer,k,random_delta_toward_yes_mean,random_no_to_yes_flip_rate_mean
20,1,0.0017543859649122807,0.007017543859649123
20,5,0.0036184210526315785,0.007017543859649123
20,10,0.008004385964912281,0.010526315789473684
20,20,0.00021929824561403504,0.007017543859649123
20,50,0.006798245614035088,0.017543859649122806
20,100,0.008991228070175439,0.014035087719298246
20,200,-0.007785087719298246,0.010526315789473684
21,1,0.0021929824561403508,0.007017543859649123
21,5,0.000986842105263158,0.010526315789473684
21,10,0.0021929824561403508,0.010526315789473684
21,20,0.0030701754385964917,0.007017543859649123
21,50,0.0077850877192982455,0.014035087719298246
21,100,0.006469298245614037,0.014035087719298246
21,200,-0.031359649122807025,0.0035087719298245615
22,1,0.0030701754385964917,0.010526315789473684
22,5,0.0031798245614035087,0.010526315789473684
22,10,0.0010964912280701756,0.007017543859649123
22,20,0.0003289473684210526,0.007017543859649123
22,50,-0.001206140350877194,0.014035087719298246
22,100,0.006578947368421053,0.014035087719298246
22,200,-0.035964912280701755,0.0
23,1,0.0014254385964912282,0.010526315789473684
23,5,0.002412280701754386,0.010526315789473684
23,10,0.004714912280701754,0.010526315789473684
23,20,0.002412280701754386,0.010526315789473684
23,50,0.004824561403508772,0.017543859649122806
23,100,0.010416666666666666,0.010526315789473684
23,200,0.04133771929824562,0.045614035087719294
25,1,0.012499999999999999,0.014035087719298246
25,5,0.001644736842105263,0.007017543859649123
25,10,0.004714912280701754,0.007017543859649123
25,20,0.0043859649122807015,0.010526315789473684
25,50,0.0043859649122807015,0.010526315789473684
25,100,-0.004714912280701754,0.0035087719298245615
25,200,-0.016228070175438595,0.0035087719298245615
26,1,0.002521929824561403,0.010526315789473684
26,5,0.0031798245614035087,0.014035087719298246
26,10,0.0015350877192982458,0.007017543859649123
26,20,-0.0006578947368421052,0.007017543859649123
26,50,0.008662280701754385,0.014035087719298246
26,100,0.010855263157894738,0.017543859649122806
26,200,0.028837719298245617,0.024561403508771926
27,1,-0.0005482456140350876,0.0035087719298245615
27,5,0.006907894736842106,0.010526315789473684
27,10,0.0036184210526315794,0.007017543859649123
27,20,0.00043859649122807024,0.010526315789473684
27,50,-0.005043859649122809,0.014035087719298246
27,100,0.0077850877192982455,0.014035087719298246
27,200,0.1444078947368421,0.10526315789473684
