pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
0,11.8828125,0.08721923828125,-11.79559326171875,8.875,0.53125
1,16.03125,0.5009765625,-15.5302734375,14.046875,0.9375
2,11.2265625,1.9033203125,-9.3232421875,9.5625,2.4375
3,13.1328125,-3.552734375,-16.685546875,11.140625,-0.9375
4,16.515625,-1.60546875,-18.12109375,16.640625,0.625
5,16.90625,-4.76953125,-21.67578125,16.53125,-1.84375
6,15.875,-7.734375,-23.609375,16.109375,-3.71875
7,15.890625,8.0859375,-7.8046875,14.390625,5.96875
8,15.5,13.296875,-2.203125,14.703125,10.921875
9,14.6015625,-3.40234375,-18.00390625,13.59375,-0.9375
10,7.8671875,-1.552734375,-9.419921875,6.4375,0.5625
11,11.8828125,-6.02734375,-17.91015625,8.875,-3.375
12,15.5,4.8671875,-10.6328125,14.703125,4.03125
13,16.828125,-0.5302734375,-17.3583984375,16.859375,0.5
14,11.15625,0.056121826171875,-11.100128173828125,8.75,0.53125
15,13.1328125,-7.59375,-20.7265625,11.140625,-3.25
16,2.205078125,-22.453125,-24.658203125,3.1875,-18.65625
17,13.296875,0.7783203125,-12.5185546875,10.84375,0.8125
18,16.34375,1.9609375,-14.3828125,18.09375,2.3125
19,11.8828125,0.17724609375,-11.70556640625,8.875,1.125
20,-1.412109375,-0.8994140625,0.5126953125,0.875,1.125
21,16.90625,-3.1796875,-20.0859375,16.53125,-0.53125
22,16.03125,-0.6845703125,-16.7158203125,14.046875,0.5625
23,14.6015625,-8.9140625,-23.515625,13.59375,-5.0
24,11.2265625,-10.296875,-21.5234375,9.5625,-6.125
25,15.7421875,-7.46875,-23.2109375,14.4375,-3.71875
26,15.890625,-15.953125,-31.84375,14.390625,-11.328125
27,12.7890625,-3.640625,-16.4296875,9.84375,-1.71875
28,11.8828125,0.99951171875,-10.88330078125,8.875,1.1875
29,7.8671875,-0.89111328125,-8.75830078125,6.4375,0.8125
30,17.296875,0.5771484375,-16.7197265625,17.25,1.40625
31,14.53125,-3.8046875,-18.3359375,11.71875,-1.65625
32,15.890625,-0.50537109375,-16.39599609375,14.390625,0.53125
33,15.875,-13.1875,-29.0625,16.109375,-8.84375
34,15.0,-1.12890625,-16.12890625,13.203125,0.5
35,12.1953125,-25.296875,-37.4921875,10.46875,-19.890625
36,12.1953125,-19.703125,-31.8984375,10.46875,-14.0625
37,2.205078125,-7.02734375,-9.232421875,3.1875,-2.4375
