level,selection_name,control_type,layer,k,alpha,random_id,add_scale,n,normal_yes_count,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
vignette,L22_random_top100_r0,random_neurons,22,100,0.5,0,0.061756540561,13.0,13.0,7.195913461538462,7.185096153846154,0.010817307692307692,0.0,0.0
vignette,L22_random_top100_r0,random_neurons,22,100,1.0,0,0.061756540561,13.0,13.0,7.195913461538462,7.1766826923076925,0.019230769230769232,0.0,0.0
vignette,L22_random_top100_r0,random_neurons,22,100,2.0,0,0.061756540561,13.0,13.0,7.195913461538462,7.168269230769231,0.027644230769230768,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,0.5,0,0.0970970203272,13.0,13.0,7.195913461538462,7.181490384615385,0.014423076923076924,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,1.0,0,0.0970970203272,13.0,13.0,7.195913461538462,7.169471153846154,0.026442307692307692,0.0,0.0
vignette,L22_random_top50_r0,random_neurons,22,50,2.0,0,0.0970970203272,13.0,13.0,7.195913461538462,7.146634615384615,0.04927884615384615,0.0,0.0
vignette,L22_top100,ci_top_neurons,22,100,0.5,-1,20.812126861000003,13.0,13.0,7.195913461538462,4.4110576923076925,2.784855769230769,4.0,0.3076923076923077
vignette,L22_top100,ci_top_neurons,22,100,1.0,-1,20.812126861000003,13.0,13.0,7.195913461538462,1.8317307692307692,5.3641826923076925,5.0,0.38461538461538464
vignette,L22_top100,ci_top_neurons,22,100,2.0,-1,20.812126861000003,13.0,13.0,7.195913461538462,-2.394230769230769,9.59014423076923,10.0,0.7692307692307693
vignette,L22_top50,ci_top_neurons,22,50,0.5,-1,18.600777449,13.0,13.0,7.195913461538462,4.697115384615385,2.498798076923077,3.0,0.23076923076923078
vignette,L22_top50,ci_top_neurons,22,50,1.0,-1,18.600777449,13.0,13.0,7.195913461538462,2.360576923076923,4.835336538461538,5.0,0.38461538461538464
vignette,L22_top50,ci_top_neurons,22,50,2.0,-1,18.600777449,13.0,13.0,7.195913461538462,-1.5985576923076923,8.794471153846153,8.0,0.6153846153846154
