pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
0,10.8671875,-2.49609375,-13.36328125,8.21875,-0.78125
1,15.9296875,-1.6171875,-17.546875,14.40625,-0.0625
2,10.515625,1.4912109375,-9.0244140625,9.53125,2.40625
3,14.0703125,-5.828125,-19.8984375,12.5,-2.4375
4,17.171875,-3.068359375,-20.240234375,17.546875,-0.0625
5,17.0,-6.20703125,-23.20703125,16.75,-2.4375
6,16.015625,-9.8125,-25.828125,16.09375,-4.96875
7,16.046875,6.76953125,-9.27734375,15.21875,5.3125
8,15.8125,13.625,-2.1875,15.046875,11.4375
9,14.9375,-5.90625,-20.84375,14.34375,-2.25
10,7.29296875,-2.3359375,-9.62890625,6.125,0.09375
11,10.8671875,-7.39453125,-18.26171875,8.21875,-3.96875
12,15.8125,4.2578125,-11.5546875,15.046875,3.84375
13,17.359375,-2.572265625,-19.931640625,17.5625,-0.65625
14,11.2578125,-1.6943359375,-12.9521484375,9.03125,-0.25
15,14.0703125,-10.1015625,-24.171875,12.5,-4.84375
16,1.3369140625,-22.40625,-23.7431640625,2.53125,-19.65625
17,13.4765625,-3.45703125,-16.93359375,11.65625,-1.34375
18,17.015625,-0.47265625,-17.48828125,18.921875,0.875
19,10.8671875,-0.8759765625,-11.7431640625,8.21875,0.59375
20,-2.099609375,-3.154296875,-1.0546875,0.375,-0.0625
21,17.0,-4.875,-21.875,16.75,-1.3125
22,15.9296875,-3.796875,-19.7265625,14.40625,-1.0625
23,14.9375,-11.8125,-26.75,14.34375,-6.96875
24,10.515625,-10.7265625,-21.2421875,9.53125,-6.5625
25,15.8125,-8.8359375,-24.6484375,14.640625,-4.5
26,16.046875,-16.8125,-32.859375,15.21875,-12.765625
27,13.1015625,-6.4921875,-19.59375,10.28125,-3.40625
28,10.8671875,-1.43359375,-12.30078125,8.21875,-0.0625
29,7.29296875,-1.318359375,-8.611328125,6.125,0.5625
30,17.625,-2.115234375,-19.740234375,17.9375,-0.125
31,14.1328125,-6.10546875,-20.23828125,11.6875,-2.78125
32,16.046875,-4.734375,-20.78125,15.21875,-1.875
33,16.015625,-14.8828125,-30.8984375,16.09375,-10.5
34,15.453125,-3.482421875,-18.935546875,14.03125,-0.78125
35,11.7421875,-25.546875,-37.2890625,10.0625,-21.109375
36,11.7421875,-20.75,-32.4921875,10.0625,-16.0
37,1.3369140625,-8.578125,-9.9150390625,2.53125,-3.46875
38,17.171875,-4.5078125,-21.6796875,17.546875,-1.34375
39,7.29296875,-23.515625,-30.80859375,6.125,-21.296875
40,9.7421875,-1.8681640625,-11.6103515625,6.5625,-0.28125
41,15.8125,-2.1953125,-18.0078125,15.046875,-0.40625
42,17.015625,-23.640625,-40.65625,18.921875,-19.8125
43,6.55859375,-3.078125,-9.63671875,5.5,-0.3125
44,9.7421875,-2.634765625,-12.376953125,6.5625,-0.625
45,17.0625,-3.58203125,-20.64453125,16.421875,-0.8125
46,10.453125,-2.6953125,-13.1484375,9.53125,-0.1875
47,17.0625,-2.783203125,-19.845703125,16.421875,-0.4375
48,5.625,-3.099609375,-8.724609375,5.34375,-0.3125
49,12.1171875,-3.634765625,-15.751953125,10.46875,-1.03125
50,14.9375,-4.7421875,-19.6796875,14.34375,-0.8125
51,12.1171875,-2.18359375,-14.30078125,10.46875,-0.125
52,15.6640625,-3.240234375,-18.904296875,14.484375,-0.75
53,13.1015625,-6.1171875,-19.21875,10.28125,-2.78125
54,14.1328125,-2.1640625,-16.296875,11.6875,-0.40625
55,10.515625,-2.951171875,-13.466796875,9.9375,-0.25
56,17.015625,-3.37890625,-20.39453125,18.921875,-1.15625
57,17.25,-2.794921875,-20.044921875,16.75,-0.625
58,16.046875,-4.828125,-20.875,15.21875,-2.0
59,16.21875,-4.55859375,-20.77734375,16.203125,-0.90625
60,14.6015625,-2.35546875,-16.95703125,13.375,-0.21875
61,15.8125,-2.1328125,-17.9453125,15.046875,-0.3125
62,10.515625,-1.650390625,-12.166015625,9.53125,0.0
63,15.6640625,-3.146484375,-18.810546875,14.484375,-1.25
64,15.453125,-2.669921875,-18.123046875,14.03125,-0.375
65,15.1015625,-20.984375,-36.0859375,13.078125,-15.671875
66,13.8046875,-1.5263671875,-15.3310546875,12.140625,-0.03125
67,13.2578125,-3.521484375,-16.779296875,10.0625,-1.21875
68,15.1015625,-3.6328125,-18.734375,13.078125,-0.53125
69,13.9453125,-1.5908203125,-15.5361328125,12.015625,-0.21875
70,15.4765625,-7.71875,-23.1953125,14.09375,-2.84375
71,7.984375,-9.15625,-17.140625,8.0,-3.75
72,12.8828125,-3.072265625,-15.955078125,11.390625,-0.5625
73,15.8515625,-5.12890625,-20.98046875,15.21875,-1.15625
74,15.8515625,-16.40625,-32.2578125,15.21875,-10.5
75,2.10546875,-17.71875,-19.82421875,3.34375,-12.359375
76,14.359375,-4.7578125,-19.1171875,12.1875,-1.0625
77,16.609375,-3.494140625,-20.103515625,17.390625,-0.8125
78,15.5703125,-16.09375,-31.6640625,13.46875,-8.8125
79,14.6484375,-17.53125,-32.1796875,12.296875,-10.84375
80,8.578125,-13.953125,-22.53125,7.71875,-7.46875
81,12.8828125,-2.54296875,-15.42578125,11.390625,-0.25
82,14.515625,-2.193359375,-16.708984375,13.0,0.0
83,15.8515625,-5.265625,-21.1171875,15.21875,-2.34375
84,14.6484375,-18.578125,-33.2265625,12.296875,-14.125
85,15.5703125,-20.078125,-35.6484375,13.46875,-15.640625
86,7.984375,-16.375,-24.359375,8.0,-9.71875
87,8.578125,-26.671875,-35.25,7.71875,-22.671875
88,15.1015625,-2.875,-17.9765625,13.078125,-0.4375
89,14.359375,-3.236328125,-17.595703125,12.1875,-0.03125
90,8.578125,-4.62109375,-13.19921875,7.71875,-1.0
91,2.10546875,-23.359375,-25.46484375,3.34375,-17.609375
92,2.10546875,-4.9765625,-7.08203125,3.34375,-1.125
93,16.125,-2.42578125,-18.55078125,15.703125,-1.1875
94,2.10546875,-8.109375,-10.21484375,3.34375,-3.1875
95,14.703125,-5.0078125,-19.7109375,13.515625,-1.8125
96,13.2578125,-2.23046875,-15.48828125,10.0625,-0.5625
97,15.5703125,-3.892578125,-19.462890625,15.234375,-0.65625
98,17.1875,-11.3671875,-28.5546875,17.53125,-5.6875
99,12.7421875,-1.96484375,-14.70703125,11.25,-0.40625
100,17.1875,-17.453125,-34.640625,17.53125,-10.1875
101,12.7421875,-1.8310546875,-14.5732421875,11.25,-0.59375
102,7.984375,-3.16796875,-11.15234375,8.0,0.0
103,16.609375,-4.125,-20.734375,17.390625,-1.5
104,14.703125,-6.00390625,-20.70703125,13.515625,-1.34375
105,8.578125,-4.16796875,-12.74609375,7.71875,-0.90625
106,13.6015625,-7.1171875,-20.71875,12.9375,-2.1875
107,16.109375,-2.978515625,-19.087890625,14.046875,-0.34375
108,15.8515625,-5.23046875,-21.08203125,15.21875,-1.15625
109,14.515625,-3.171875,-17.6875,13.0,-1.09375
110,15.5703125,-2.958984375,-18.529296875,13.46875,-0.90625
111,15.5703125,-2.017578125,-17.587890625,15.234375,0.0
112,16.125,-3.2109375,-19.3359375,16.375,-0.75
113,16.6875,-2.017578125,-18.705078125,16.25,-0.78125
114,16.125,-4.00390625,-20.12890625,16.375,-0.71875
115,15.4765625,-4.84765625,-20.32421875,14.09375,-1.03125
116,16.359375,-17.703125,-34.0625,15.4375,-9.84375
117,16.359375,-14.40625,-30.765625,15.4375,-8.078125
118,16.0,-11.7734375,-27.7734375,16.8125,-6.8125
