case_index,name,level,source,data_type,data_subject,data_sender,data_recipient,transmission_principle,selection_name,control_type,layer,k,random_id,alpha,signed_removal,normal_decision,normal_yes_score,normal_no_score,normal_yes_minus_no_margin,patched_decision,patched_yes_score,patched_no_score,patched_yes_minus_no_margin,delta_toward_yes,no_to_yes_flip,error
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,1.0,False,No,24.28125,44.96875,-20.6875,No,27.828125,45.0625,-17.234375,3.453125,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,2.0,False,No,24.28125,44.96875,-20.6875,No,31.875,44.5625,-12.6875,8.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,4.0,False,No,24.28125,44.96875,-20.6875,No,39.21875,40.5625,-1.34375,19.34375,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,6.0,False,No,24.28125,44.96875,-20.6875,Yes,43.1875,31.234375,11.953125,32.640625,1,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,1.0,False,No,24.28125,44.96875,-20.6875,No,28.0625,45.0625,-17.0,3.6875,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,2.0,False,No,24.28125,44.96875,-20.6875,No,32.34375,44.4375,-12.09375,8.59375,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,4.0,False,No,24.28125,44.96875,-20.6875,Yes,39.84375,39.8125,0.03125,20.71875,1,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,6.0,False,No,24.28125,44.96875,-20.6875,Yes,43.46875,29.328125,14.140625,34.828125,1,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,1.0,False,No,24.28125,44.96875,-20.6875,No,27.96875,45.03125,-17.0625,3.625,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,2.0,False,No,24.28125,44.96875,-20.6875,No,32.1875,44.46875,-12.28125,8.40625,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,4.0,False,No,24.28125,44.96875,-20.6875,No,39.625,40.0625,-0.4375,20.25,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,6.0,False,No,24.28125,44.96875,-20.6875,Yes,43.40625,29.96875,13.4375,34.125,1,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top500,ci_top_neurons,22,500,-1,1.0,False,No,24.28125,44.96875,-20.6875,No,28.015625,45.0625,-17.046875,3.640625,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top500,ci_top_neurons,22,500,-1,2.0,False,No,24.28125,44.96875,-20.6875,No,32.25,44.4375,-12.1875,8.5,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top500,ci_top_neurons,22,500,-1,4.0,False,No,24.28125,44.96875,-20.6875,No,39.71875,39.9375,-0.21875,20.46875,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top500,ci_top_neurons,22,500,-1,6.0,False,No,24.28125,44.96875,-20.6875,Yes,43.46875,29.65625,13.8125,34.5,1,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top50_r0,random_neurons,22,50,0,1.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top50_r0,random_neurons,22,50,0,2.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top50_r0,random_neurons,22,50,0,4.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top50_r0,random_neurons,22,50,0,6.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top100_r0,random_neurons,22,100,0,1.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top100_r0,random_neurons,22,100,0,2.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top100_r0,random_neurons,22,100,0,4.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
0,main1,trajectory,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_random_top100_r0,random_neurons,22,100,0,6.0,False,No,24.28125,44.96875,-20.6875,No,24.28125,44.96875,-20.6875,0.0,0,
