checkpoint,intervention,layer,n,decision_changes,mean_aligned_margin_effect
Base,Both A->D,3,85,1/85,11.895404411764703
Base,Both D->A,1,85,5/85,11.878492647058824
Base,Purpose A->C,0,65,2/65,11.355288461538462
Base,Purpose C->A,2,65,10/65,11.39158653846154
Base,Recipient A->B,5,28,0/28,8.809709821428571
Base,Recipient B->A,6,28,4/28,8.987165178571429
CI,Both A->D,3,85,84/85,13.715441176470588
CI,Both D->A,3,85,81/85,13.734375
CI,Purpose A->C,0,65,64/65,12.872355769230769
CI,Purpose C->A,2,65,64/65,12.96514423076923
CI,Recipient A->B,6,28,28/28,9.431919642857142
CI,Recipient B->A,6,28,26/28,9.680803571428571
