experiment,intervention,level,cases,flips,direction,random_control
Base L22 remove,"remove L22 refusal contribution, top100 alpha6",seed,477,477/477,No-to-Yes,0
Base L22 remove,"remove L22 refusal contribution, top100 alpha6",vignette,480,480/480,No-to-Yes,0
Base L22 remove,"remove L22 refusal contribution, top100 alpha6",trajectory,462,462/462,No-to-Yes,0
Base L22 remove,"remove L22 refusal contribution, top100 alpha6",trajectory_enhancing,491,491/491,No-to-Yes,0
Base L22 remove,overall top100 alpha6,overall,1910,1910/1910,No-to-Yes,0/1910
Base L22 rescue,"add CI-like L22 contribution, top100 alpha2",seed,16,15/16,Yes-to-No,0
Base L22 rescue,"add CI-like L22 contribution, top100 alpha2",vignette,13,10/13,Yes-to-No,0
Base L22 rescue,"add CI-like L22 contribution, top100 alpha2",trajectory,31,29/31,Yes-to-No,0
Base L22 rescue,"add CI-like L22 contribution, top100 alpha2",trajectory_enhancing,2,2/2,Yes-to-No,0
Base L22 rescue,overall top100 alpha2,overall,62,56/62,Yes-to-No,0/62
Base L18 remove,patch L18 top5 heads toward allowed A,seed,477,80/477,No-to-Yes,1/477
Base L18 remove,patch L18 top5 heads toward allowed A,vignette,480,90/480,No-to-Yes,0/480
Base L18 remove,patch L18 top5 heads toward allowed A,trajectory,462,214/462,No-to-Yes,0/462
Base L18 remove,patch L18 top5 heads toward allowed A,trajectory_enhancing,491,69/491,No-to-Yes,0/491
Base L18 remove,overall,overall,1910,453/1910,No-to-Yes,1/1910
Base L18 rescue,patch L18 top5 heads toward refusal D,seed,16,5/16,Yes-to-No,1/16
Base L18 rescue,patch L18 top5 heads toward refusal D,vignette,13,4/13,Yes-to-No,0/13
Base L18 rescue,patch L18 top5 heads toward refusal D,trajectory,31,20/31,Yes-to-No,1/31
Base L18 rescue,patch L18 top5 heads toward refusal D,trajectory_enhancing,2,2/2,Yes-to-No,0/2
Base L18 rescue,overall,overall,62,31/62,Yes-to-No,2/62
